Word,Freq,Rank
the,3414,1
and,2043,2
to,1149,3
a,1002,4
he,993,5
of,811,6
was,675,7
in,604,8
little,569,9
his,550,10
that,459,11
it,457,12
she,399,13
they,386,14
i,363,15
you,344,16
for,328,17
as,323,18
said,304,19
had,286,20
but,277,21
with,277,22
so,273,23
when,263,24
at,260,25
her,257,26
on,242,27
is,230,28
all,216,29
not,208,30
were,187,31
came,178,32
him,171,33
one,165,34
there,163,35
be,160,36
from,157,37
out,153,38
very,150,39
could,148,40
then,144,41
have,144,42
up,131,43
will,127,44
this,122,45
my,117,46
went,114,47
their,112,48
them,110,49
down,108,50
would,108,51
who,105,52
great,105,53
"""i",103,54
me,98,55
old,96,56
are,92,57
what,91,58
do,91,59
by,89,60
"said,",89,61
into,88,62
saw,87,63
like,85,64
see,84,65
if,84,66
made,84,67
your,81,68
no,80,69
after,77,70
more,77,71
where,72,72
come,72,73
did,71,74
looked,70,75
over,69,76
king,69,77
time,67,78
go,66,79
away,66,80
just,66,81
about,65,82
big,63,83
good,63,84
make,62,85
put,61,86
ran,61,87
or,60,88
than,60,89
man,60,90
people,60,91
how,60,92
every,59,93
two,58,94
we,58,95
took,57,96
am,56,97
some,56,98
him.,54,99
"it,",54,100
"him,",54,101
never,54,102
know,53,103
mother,52,104
began,51,105
day,50,106
thought,50,107
much,49,108
can,49,109
father,49,110
once,48,111
heard,47,112
only,46,113
other,45,114
boy,45,115
long,45,116
stood,44,117
take,44,118
got,43,119
upon,43,120
margery,43,121
shall,42,122
any,42,123
jackal,42,124
until,42,125
red,41,126
which,41,127
an,41,128
back,41,129
men,40,130
way,40,131
own,40,132
many,40,133
must,39,134
through,39,135
an',39,136
beautiful,39,137
been,38,138
"""you",37,139
"""oh,",37,140
last,37,141
think,37,142
till,36,143
something,36,144
should,36,145
look,36,146
now,35,147
white,35,148
while,35,149
eat,35,150
soon,35,151
before,35,152
gingerbread,35,153
door,34,154
"me,",34,155
help,34,156
fir,34,157
left,33,158
asked,33,159
called,33,160
mouse,33,161
always,33,162
get,33,163
lion,33,164
poor,33,165
prince,33,166
grew,33,167
still,32,168
felt,32,169
tailor,32,170
along,32,171
round,32,172
let,32,173
"you,",32,174
head,31,175
such,31,176
told,31,177
too,31,178
tree,31,179
it.,31,180
want,31,181
them.,30,182
knew,30,183
lived,30,184
"day,",30,185
hard,30,186
"up,",29,187
thing,29,188
nightingale,29,189
these,29,190
end,28,191
fox,28,192
next,28,193
another,28,194
"them,",28,195
gold,28,196
"""the",28,197
emperor,28,198
wanted,28,199
give,28,200
tiny,28,201
himself,27,202
"then,",27,203
don't,27,204
"""and",27,205
turned,27,206
ever,27,207
work,27,208
"that,",27,209
david,27,210
found,27,211
gave,27,212
quite,26,213
home,26,214
going,26,215
used,26,216
garden,26,217
story,26,218
because,26,219
"said,--",26,220
"""it",26,221
kept,26,222
children,25,223
set,25,224
brother,25,225
i'll,25,226
kind,25,227
pretty,25,228
city,25,229
sing,25,230
country,25,231
even,25,232
has,24,233
said.,24,234
brought,24,235
tell,24,236
"out,",24,237
new,23,238
its,23,239
enough,23,240
"""what",23,241
small,23,242
most,23,243
sent,23,244
catch,23,245
place,23,246
find,23,247
house,23,248
again,22,249
"""but",22,250
cannot,22,251
first,22,252
sat,22,253
"was,",22,254
struck,22,255
"down,",21,256
happy,21,257
"man,",21,258
things,21,259
strong,21,260
run,21,261
tiger,21,262
hold,21,263
fast,21,264
far,21,265
"there,",20,266
hear,20,267
sweet,20,268
wind,20,269
off,20,270
"""who",20,271
dear,20,272
three,20,273
us,19,274
"""that",19,275
carried,19,276
leaves,19,277
without,19,278
near,19,279
became,19,280
wife,19,281
eyes,18,282
field,18,283
robert,18,284
fine,18,285
cherry,18,286
cried,18,287
keep,18,288
might,18,289
cut,18,290
nothing,18,291
each,18,292
"again,",18,293
"""a",18,294
may,18,295
here,18,296
well,18,297
wonderful,18,298
our,17,299
tried,17,300
"last,",17,301
better,17,302
those,17,303
under,17,304
"mother,",17,305
anything,17,306
hermit,17,307
"this,",17,308
"brahmin,",17,309
right,16,310
king's,16,311
home.,16,312
trees,16,313
horse,16,314
giant,16,315
earth,16,316
whole,16,317
killed,16,318
voice,16,319
fell,16,320
water,16,321
music,16,322
care,15,323
"home,",15,324
laughed,15,325
king.,15,326
face,15,327
live,15,328
*,15,329
almost,15,330
again.,15,331
lazy,15,332
food,15,333
everything,15,334
hand,15,335
night,15,336
court,15,337
"time,",15,338
terrible,15,339
years,15,340
opened,15,341
best,15,342
against,15,343
"and,",15,344
"""yes,",15,345
"water,",15,346
"her,",14,347
mighty,14,348
really,14,349
young,14,350
full,14,351
couldn't,14,352
done,14,353
alligator,14,354
bag,14,355
margaret,14,356
"away,",14,357
jackal.,14,358
same,14,359
hen,14,360
jack,14,361
ground,14,362
green,14,363
wait,14,364
seemed,14,365
liked,14,366
morning,14,367
grey,14,368
courtiers,14,369
can't,14,370
"""if",13,371
few,13,372
kill,13,373
half-chick,13,374
world,13,375
ground.,13,376
castle,13,377
show,13,378
lay,13,379
suddenly,13,380
woman,13,381
statue,13,382
"so,",13,383
open,13,384
"night,",13,385
child,13,386
worked,13,387
loved,13,388
"me!""",13,389
"on,",13,390
carry,13,391
fairy,13,392
does,13,393
across,13,394
behind,13,395
margery's,13,396
read,13,397
"king,",12,398
"""i'll",12,399
"hoppity-kick,",12,400
land,12,401
rid,12,402
save,12,403
says,12,404
nice,12,405
wish,12,406
wicked,12,407
named,12,408
stone,12,409
hole,12,410
except,12,411
louisa,12,412
palace,12,413
there.,12,414
pull,12,415
servants,12,416
life,12,417
happened,12,418
"too,",12,419
"head,",12,420
girl,12,421
dark,12,422
toward,12,423
wee,12,424
able,12,425
elsa,12,426
mr,12,427
drove,12,428
strange,12,429
rolled,12,430
christmas,12,431
shut,12,432
heart,12,433
brahmin,12,434
me.,11,435
early,11,436
"thought,",11,437
hidden,11,438
man's,11,439
himself.,11,440
"""how",11,441
taken,11,442
"boy,",11,443
grow,11,444
love,11,445
brown,11,446
fair,11,447
tortoise,11,448
since,11,449
emperor's,11,450
clock,11,451
"you,""",11,452
sound,11,453
everybody,11,454
her.,11,455
"came,",11,456
looks,11,457
bad,11,458
"father,",11,459
shone,11,460
"by,",11,461
shoemaker,11,462
looking,11,463
high,11,464
jumped,11,465
lovely,11,466
straight,11,467
"now,",11,468
baby,11,469
flew,11,470
rest,11,471
stories,11,472
seen,11,473
sang,11,474
dagda,10,475
bread,10,476
caught,10,477
bright,10,478
between,10,479
river,10,480
days,10,481
thou,10,482
thin,10,483
"off,",10,484
started,10,485
rollaround,10,486
"lion,",10,487
cow,10,488
"say,",10,489
"dear,",10,490
roll,10,491
epaminondas,10,492
corn,10,493
heavenly,10,494
light,10,495
bring,10,496
"jackal,",10,497
"house,",10,498
tailor.,10,499
filled,10,500
trundle-bed,10,501
threw,10,502
artist,10,503
sicily,10,504
thy,10,505
money,10,506
"still,",10,507
often,10,508
camel,10,509
"little,",10,510
wise,10,511
was.,10,512
nobody,10,513
minute,10,514
royal,10,515
"work,",10,516
ten,10,517
all.,10,518
didn't,10,519
sitting,10,520
gone,10,521
ask,10,522
piece,10,523
being,10,524
half,10,525
ate,10,526
flowers,10,527
shoes,10,528
tail,10,529
soul,10,530
harp,10,531
house.,10,532
sure,10,533
drew,10,534
"more,",9,535
"way,",9,536
held,9,537
"""no,",9,538
friend,9,539
say,9,540
gottlieb,9,541
part,9,542
play,9,543
snow,9,544
sprang,9,545
"long,",9,546
moon,9,547
"tree,",9,548
touched,9,549
christ,9,550
stole,9,551
"fox,",9,552
stay,9,553
sun,9,554
bit,9,555
"himself,",9,556
saved,9,557
"friend,",9,558
why,9,559
magic,9,560
beside,9,561
sit,9,562
presently,9,563
"""do",9,564
sometimes,9,565
middle,9,566
given,9,567
"know,",9,568
rain,9,569
grown,9,570
born,9,571
carefully,9,572
thinking,9,573
mountain,9,574
paw,9,575
day.,9,576
midst,9,577
top,9,578
real,9,579
fairies,9,580
soft,9,581
"about,",9,582
walked,9,583
begged,9,584
wrote,9,585
room,9,586
bought,9,587
"door,",9,588
elephant,9,589
hands,9,590
"eyes,",9,591
exactly,9,592
plough,9,593
bed,9,594
"course,",9,595
boat,9,596
ready,9,597
"morning,",9,598
"woman,",9,599
stopped,9,600
shook,8,601
said;,8,602
brahmin.,8,603
yellow,8,604
sea,8,605
people.,8,606
death,8,607
salt,8,608
times,8,609
plant,8,610
angel,8,611
"""little",8,612
"""my",8,613
wonder,8,614
sad,8,615
rose,8,616
pulled,8,617
"me,""",8,618
"earth,",8,619
among,8,620
crabs,8,621
fight,8,622
shiny,8,623
"trees,",8,624
"david,",8,625
"king!""",8,626
cloud,8,627
else,8,628
"mammy,""",8,629
fields,8,630
pushed,8,631
tears,8,632
low,8,633
perhaps,8,634
remember,8,635
"it.""",8,636
fox.,8,637
surely,8,638
"cage?""",8,639
"cow,",8,640
outside,8,641
"""it's",8,642
above,8,643
margery.,8,644
talk,8,645
remembered,8,646
bade,8,647
whale,8,648
ye,8,649
grind,8,650
lying,8,651
"""he",8,652
"horse,",8,653
"air,",8,654
begin,8,655
"well,",8,656
grass,8,657
ould,8,658
bowed,8,659
tied,8,660
roared,8,661
"nightingale,",8,662
tired,8,663
evening,8,664
running,8,665
"margery,",8,666
around,8,667
women,8,668
beat,8,669
art,8,670
mouse.,8,671
coming,8,672
dropped,7,673
him;,7,674
beasts,7,675
philistine,7,676
pot,7,677
"bed,",7,678
i'm,7,679
life.,7,680
"you!""",7,681
stones,7,682
god.,7,683
side,7,684
"leaves,",7,685
"""god",7,686
"tiger,",7,687
"voice,",7,688
doing,7,689
"courtiers,",7,690
words,7,691
yet,7,692
"me.""",7,693
armies,7,694
"""this",7,695
"""now",7,696
covered,7,697
funny,7,698
"""not",7,699
helped,7,700
"went,",7,701
"over,",7,702
can!,7,703
time.,7,704
seeds,7,705
"i,""",7,706
move,7,707
fear,7,708
"""when",7,709
"girl,",7,710
four,7,711
frode,7,712
"""there",7,713
song,7,714
right.,7,715
wid,7,716
"""i'm",7,717
book,7,718
"another,",7,719
wearing,7,720
"""they",7,721
about.,7,722
zelia,7,723
"back,",7,724
"one,",7,725
anyone,7,726
free,7,727
deal,7,728
saul,7,729
"once,",7,730
"world,",7,731
acorn,7,732
danced,7,733
wore,7,734
girls,7,735
"oh,",7,736
whom,7,737
lord,7,738
wild,7,739
"""why",7,740
slowly,7,741
ring,7,742
crown,7,743
glad,7,744
rope,7,745
garden.,7,746
"them.""",7,747
sons,7,748
spoke,7,749
"epaminondas,",7,750
before.,7,751
path,7,752
alligator!,7,753
in.,7,754
