Word,Freq,Rank
the,7599,1
to,5019,2
and,4593,3
of,3711,4
a,3068,5
i,2557,6
he,2293,7
in,2161,8
was,2126,9
you,2091,10
his,1834,11
that,1772,12
for,1720,13
it,1434,14
as,1374,15
not,1344,16
said,1344,17
her,1322,18
with,1307,19
she,1231,20
had,1136,21
at,1099,22
be,1094,23
but,1018,24
have,949,25
my,921,26
is,897,27
this,840,28
all,799,29
they,737,30
by,680,31
your,671,32
which,640,33
who,634,34
so,624,35
him,575,36
were,529,37
when,521,38
what,502,39
if,492,40
are,487,41
would,486,42
from,478,43
me,476,44
will,473,45
no,461,46
upon,461,47
their,431,48
mr.,430,49
one,413,50
do,407,51
little,403,52
could,402,53
"""i",395,54
out,394,55
or,381,56
on,365,57
good,354,58
up,347,59
we,339,60
very,338,61
been,329,62
into,306,63
them,299,64
some,299,65
about,298,66
did,298,67
never,294,68
mrs.,293,69
know,292,70
an,285,71
don't,272,72
now,271,73
see,268,74
more,264,75
should,260,76
shall,259,77
must,247,78
"you,",240,79
make,237,80
than,236,81
much,235,82
am,235,83
go,234,84
has,234,85
how,233,86
give,227,87
can,226,88
any,225,89
cried,222,90
great,221,91
old,219,92
these,217,93
came,215,94
there,210,95
like,210,96
just,203,97
let,200,98
come,198,99
"it,",196,100
such,195,101
after,193,102
take,191,103
own,188,104
i'm,187,105
tell,185,106
"""and",184,107
think,181,108
"him,",181,109
time,179,110
before,177,111
well,174,112
only,172,113
went,169,114
thought,167,115
down,165,116
miss,165,117
"""but",162,118
heard,159,119
may,158,120
saw,155,121
say,153,122
"me,",153,123
made,153,124
look,150,125
i'll,146,126
"and,",144,127
us,141,128
"""you",137,129
"he,",136,130
without,136,131
sure,136,132
poor,135,133
put,135,134
then,133,135
where,129,136
first,127,137
found,127,138
day,126,139
young,126,140
"""oh,",125,141
might,122,142
though,122,143
susan,122,144
being,121,145
here,118,146
father,118,147
two,117,148
because,117,149
looked,117,150
get,117,151
going,116,152
"now,",116,153
most,115,154
it.,115,155
till,115,156
told,114,157
himself,112,158
our,112,159
many,109,160
last,109,161
always,109,162
man,108,163
lady,106,164
him.,106,165
ever,105,166
those,105,167
nothing,104,168
hear,103,169
long,101,170
knew,101,171
better,101,172
over,100,173
money,100,174
quite,99,175
won't,99,176
left,98,177
"them,",98,178
soon,98,179
can't,98,180
want,97,181
got,97,182
other,96,183
find,95,184
few,95,185
gave,95,186
back,95,187
"her,",94,188
took,94,189
lord,94,190
whom,93,191
off,93,192
boy,92,193
"she,",92,194
de,92,195
whilst,91,196
"""what",91,197
too,90,198
something,89,199
round,89,200
it's,89,201
new,89,202
looking,89,203
best,88,204
wish,88,205
"then,",85,206
next,85,207
i've,85,208
"""the",83,209
ask,83,210
half,83,211
people,82,212
done,82,213
same,82,214
anything,82,215
set,80,216
another,80,217
ran,80,218
way,79,219
speak,79,220
through,78,221
pay,77,222
"sir,",77,223
every,77,224
"""it",77,225
thing,77,226
that's,77,227
sir,77,228
"oh,",76,229
enough,75,230
house,75,231
amongst,74,232
stood,74,233
away,74,234
whole,74,235
leave,73,236
"""that",72,237
them.,72,238
hope,72,239
yet,72,240
under,71,241
you'll,71,242
it;,71,243
even,70,244
children,69,245
work,69,246
"well,",69,247
word,69,248
mother,68,249
show,68,250
"know,",68,251
fine,68,252
keep,68,253
love,67,254
continued,67,255
called,67,256
"said,",67,257
"""no,",66,258
cecilia,66,259
still,66,260
"time,",66,261
exclaimed,65,262
mind,65,263
"that,",65,264
"it.""",65,265
replied,64,266
piedro,64,267
having,64,268
"archer,",63,269
moment,63,270
everybody,63,271
does,63,272
"""well,",63,273
archer,62,274
"man,",62,275
call,62,276
why,62,277
given,62,278
"arthur,",62,279
"""yes,",62,280
you.,61,281
"do,",61,282
full,60,283
"father,",60,284
name,60,285
"however,",60,286
"day,",60,287
buy,59,288
hand,59,289
"sir,""",59,290
seen,59,291
asked,59,292
"susan,",59,293
me.,58,294
cannot,58,295
nor,58,296
"why,",58,297
"ma'am,",58,298
afraid,58,299
"but,",58,300
morning,58,301
began,58,302
"sure,",57,303
there's,57,304
glad,57,305
dear,57,306
friend,57,307
since,56,308
voice,56,309
attorney,56,310
door,56,311
just.,56,312
"here,",56,313
talb.,55,314
rather,55,315
immediately,55,316
several,55,317
turned,55,318
"you.""",55,319
mary,55,320
against,54,321
her.,54,322
arthur,54,323
each,54,324
believe,54,325
sent,54,326
its,53,327
please,53,328
bad,53,329
taken,53,330
often,53,331
"francisco,",53,332
"""if",52,333
near,52,334
home,52,335
bit,52,336
herself,52,337
things,52,338
"who,",52,339
part,51,340
master,51,341
eyes,51,342
head,51,343
"boy,",51,344
mean,51,345
francisco,51,346
farmer,51,347
j.,51,348
making,51,349
again,50,350
"me.""",50,351
brought,50,352
"not,",50,353
three,50,354
white,50,355
scarcely,50,356
"indeed,",50,357
right,49,358
dr.,49,359
obliged,49,360
help,49,361
room,49,362
"up,",49,363
felt,49,364
added,49,365
"himself,",49,366
him;,49,367
care,48,368
coming,48,369
hold,48,370
wheel.,48,371
thank,48,372
hands,48,373
"piedro,",47,374
"""how",47,375
you;,47,376
gentleman,47,377
father's,47,378
"hand,",47,379
used,47,380
"say,",47,381
person,47,382
once,47,383
whose,47,384
repeated,46,385
"jem,",45,386
"is,",45,387
*,45,388
"hal,",45,389
bring,45,390
towards,45,391
end,44,392
small,44,393
behind,44,394
jem,44,395
honest,44,396
ready,44,397
nobody,44,398
rory.,44,399
"door,",44,400
burs.,43,401
"morning,",43,402
"cecilia,",43,403
large,43,404
"""why,",43,405
opened,43,406
reason,42,407
present,42,408
years,42,409
"again,",42,410
"mother,",42,411
pretty,42,412
"""to",42,413
pleased,41,414
stopped,41,415
need,41,416
"""he",41,417
talbot,40,418
"house,",40,419
"no,",40,420
"yes,",40,421
taking,40,422
leonora,40,423
promise,40,424
"was,",40,425
both,40,426
paid,40,427
barbara,39,428
play,39,429
"pray,",39,430
least,39,431
brother,39,432
guinea,39,433
boys,39,434
sorry,39,435
hat,39,436
turning,39,437
stand,39,438
comes,39,439
franklin,39,440
promised,39,441
here's,38,442
"""my",38,443
place,38,444
"friend,",38,445
night,38,446
able,38,447
fresh,38,448
friends,38,449
ladies,37,450
use,37,451
deal,37,452
me;,37,453
"this,",37,454
answer,37,455
susan's,37,456
"way,",37,457
along,37,458
"""i'm",37,459
business,36,460
gone,36,461
piece,36,462
fond,36,463
"frederick,",36,464
"so,",36,465
else,36,466
ha!,36,467
whether,35,468
answered,35,469
open,35,470
he'll,35,471
theresa,35,472
"hardy,",35,473
returned,35,474
fast,35,475
far,35,476
happy,35,477
passed,35,478
almost,35,479
threw,35,480
"""for",35,481
"on,",35,482
"me,""",34,483
case,34,484
matter,34,485
lost,34,486
world,34,487
interrupted,34,488
pleasure,34,489
length,34,490
bell,34,491
perhaps,34,492
become,34,493
held,34,494
you'd,34,495
son,33,496
basket,33,497
"brother,",33,498
mother's,33,499
hour,33,500
carry,33,501
broken,33,502
john,33,503
rose,33,504
"fisher,",33,505
mistress,33,506
"""let",33,507
"you,""",33,508
loveit,33,509
wait,33,510
pulled,33,511
"ben,",32,512
says,32,513
"lady,",32,514
frederick,32,515
"ma'am,""",32,516
he's,32,517
words,32,518
between,32,519
try,32,520
remember,32,521
"herself,",32,522
high,32,523
"leonora,",32,524
"you?""",32,525
"it?""",31,526
face,31,527
fair,31,528
"all,",31,529
woman,31,530
stay,31,531
side,31,532
honour,31,533
"loveit,",31,534
bid,31,535
sat,31,536
"which,",31,537
hal,31,538
talk,31,539
"""we",31,540
"friends,",31,541
none,31,542
landlord.,31,543
louisa,31,544
what's,31,545
walked,31,546
became,31,547
"come,",30,548
send,30,549
received,30,550
turn,30,551
enter,30,552
lived,30,553
doing,30,554
five,30,555
means,30,556
really,29,557
forget,29,558
"""no,""",29,559
taught,29,560
party,29,561
appeared,29,562
seemed,29,563
land.,29,564
"""then",29,565
sort,29,566
everything,29,567
companions,29,568
"""this",29,569
beg,29,570
myself,29,571
"it,""",29,572
hopes,29,573
understand,29,574
her;,29,575
cut,29,576
them;,29,577
wished,29,578
village,29,579
six,29,580
kept,29,581
live,29,582
bow,29,583
time.,29,584
"for,",28,585
somers,28,586
beside,28,587
"one,",28,588
ten,28,589
truth,28,590
carried,28,591
hand.,28,592
evening,28,593
rest,28,594
"voice,",28,595
"""a",28,596
green,28,597
instead,28,598
louisa.,28,599
rory,27,600
"talbot,",27,601
four,27,602
"""mr.",27,603
count,27,604
"besides,",27,605
landlady.,27,606
"""that's",27,607
"there,",27,608
"see,",27,609
"money,",27,610
"home,",27,611
felix,27,612
thinking,27,613
"louisa,",27,614
"""is",27,615
door.,27,616
"out,",27,617
ye,26,618
"good,",26,619
"""i'll",26,620
black,26,621
during,26,622
standing,26,623
lucy.,26,624
eat,26,625
farm.,26,626
known,26,627
"price,",26,628
favourite,26,629
m.,26,630
desired,26,631
followed,26,632
walk,26,633
within,26,634
sit,26,635
eye,26,636
impatient,26,637
showed,26,638
he.,26,639
drawing,26,640
certain,26,641
follow,26,642
"work,",26,643
window,26,644
saying,26,645
talking,26,646
makes,26,647
fisher,25,648
"evening,",25,649
(aside).,25,650
lay,25,651
"""not",25,652
safe,25,653
it?,25,654
finished,25,655
themselves,25,656
"""so",25,657
begged,25,658
hard,25,659
"case,",25,660
"down,",25,661
certainly,25,662
lawrence,25,663
anybody,25,664
"""your",25,665
return,25,666
character,25,667
'em,25,668
instant,25,669
ben,24,670
observed,24,671
longer,24,672
choose,24,673
broke,24,674
sell,24,675
others,24,676
"window,",24,677
company,24,678
lamb,24,679
fellow,24,680
excellent,24,681
you?,24,682
prize,24,683
hands.,24,684
sitting,24,685
