Word,Freq,Rank
the,659,1
he,650,2
and,512,3
to,416,4
of,337,5
that,287,6
a,283,7
was,257,8
it,227,9
had,210,10
buster,209,11
little,203,12
his,183,13
as,163,14
in,161,15
is,138,16
so,108,17
all,108,18
bear,107,19
for,101,20
at,100,21
farmer,99,22
brown's,97,23
but,97,24
one,95,25
joe,93,26
you,90,27
green,87,28
i,82,29
very,82,30
when,80,31
boy,79,32
on,79,33
they,79,34
just,79,35
if,71,36
then,70,37
there,69,38
him,65,39
with,63,40
what,63,41
be,61,42
up,58,43
out,58,44
didn't,55,45
see,53,46
have,52,47
who,49,48
said,48,49
great,47,50
could,47,51
blacky,46,52
would,45,53
no,45,54
from,44,55
big,44,56
old,42,57
this,41,58
were,41,59
down,41,60
some,40,61
been,40,62
know,39,63
looked,39,64
or,38,65
billy,38,66
sammy,37,67
about,36,68
where,35,69
more,35,70
it.,35,71
time,35,72
laughing,34,73
than,34,74
now,34,75
how,33,76
get,33,77
afraid,32,78
right,32,79
forest,32,80
fish,31,81
them,30,82
way,29,83
otter,29,84
are,29,85
over,28,86
pail,28,87
away,28,88
by,27,89
couldn't,27,90
make,27,91
"""i",27,92
any,26,93
trout,26,94
berries,25,95
made,25,96
even,25,97
other,25,98
do,25,99
sure,25,100
come,24,101
thing,24,102
frightened,24,103
has,24,104
thought,24,105
those,23,106
too,23,107
went,23,108
smiling,23,109
never,23,110
can,22,111
grandfather,22,112
people,22,113
chatterer,22,114
back,22,115
saw,22,116
think,21,117
did,21,118
into,21,119
"him,",21,120
until,21,121
much,21,122
pool,21,123
came,21,124
else,20,125
not,20,126
knew,20,127
everybody,20,128
heard,20,129
"forest,",20,130
go,19,131
such,19,132
will,19,133
something,19,134
which,19,135
bear.,19,136
him.,18,137
mr.,18,138
"see,",18,139
ever,18,140
off,18,141
believe,18,142
eyes,18,143
started,18,144
because,17,145
tell,17,146
my,17,147
behind,17,148
fat,17,149
next,17,150
first,17,151
began,17,152
caught,16,153
going,16,154
bad,16,155
head,16,156
once,16,157
me,16,158
enough,16,159
keep,16,160
got,16,161
eat,16,162
long,16,163
catch,15,164
wasn't,15,165
through,15,166
"pool,",15,167
most,15,168
felt,15,169
mink,15,170
he.,15,171
i'll,15,172
brook,15,173
fishing,15,174
reddy,15,175
found,14,176
must,14,177
like,14,178
don't,14,179
crow,14,180
himself.,14,181
isn't,14,182
forest.,14,183
same,14,184
himself,13,185
still,13,186
sat,13,187
told,13,188
red,13,189
"bear,",13,190
jay,13,191
them.,13,192
only,13,193
kept,13,194
things,13,195
seen,13,196
should,13,197
pasture,13,198
might,13,199
looking,13,200
find,13,201
run,13,202
peter,13,203
tree,12,204
"brook,",12,205
seemed,12,206
place,12,207
we,12,208
another,12,209
"is,",12,210
always,12,211
good,12,212
take,12,213
lot,12,214
nothing,12,215
before,12,216
top,12,217
