Word,Freq,Rank
the,439,1
and,340,2
of,146,3
in,140,4
a,126,5
i,122,6
to,111,7
my,83,8
with,66,9
his,57,10
is,52,11
he,50,12
little,45,13
on,43,14
they,43,15
that,39,16
but,36,17
all,36,18
like,35,19
their,34,20
not,34,21
her,33,22
thou,33,23
from,32,24
thy,31,25
was,30,26
for,29,27
when,28,28
then,28,29
can,26,30
sweet,26,31
it,26,32
what,25,33
are,25,34
where,24,35
by,22,36
our,22,37
or,21,38
an,21,39
be,20,40
me,20,41
shall,19,42
so,19,43
thee,19,44
who,18,45
happy,18,46
&,17,47
have,17,48
every,17,49
does,17,50
if,16,51
human,16,52
as,16,53
love,16,54
down,16,55
nor,15,56
till,15,57
never,15,58
why,15,59
joy,15,60
she,15,61
this,14,62
night,14,63
its,14,64
how,14,65
upon,14,66
am,14,67
we,13,68
thel,13,69
while,13,70
see,13,71
no,13,72
did,12,73
o,12,74
mother,12,75
hear,12,76
holy,12,77
father,12,78
o'er,11,79
your,11,80
infant,11,81
weeping,11,82
"sleep,",10,83
"love,",10,84
oh,10,85
sit,10,86
were,10,87
"night,",10,88
"lamb,",10,89
heard,10,90
cloud,10,91
--,9,92
white,9,93
sorrow,9,94
know,9,95
tender,9,96
bright,9,97
him,9,98
god,9,99
"day,",9,100
voice,8,101
hand,8,102
rose,8,103
away,8,104
them,8,105
morning,8,106
golden,8,107
virgin,8,108
birds,8,109
round,8,110
child,8,111
green,8,112
do,8,113
wept,8,114
over,8,115
come,8,116
lyca,8,117
tears,7,118
among,7,119
children,7,120
you,7,121
"peace,",7,122
day,7,123
let,7,124
smiles,7,125
had,7,126
image,7,127
"father,",7,128
silent,7,129
songs,7,130
angel,7,131
heaven,7,132
doth,7,133
"delight,",7,134
sleep,7,135
song,7,136
saw,7,137
now,7,138
thee?,7,139
at,7,140
through,7,141
garden,7,142
many,7,143
sing,7,144
face,7,145
came,7,146
"pity,",6,147
"voice,",6,148
boy,6,149
"joy,",6,150
"thee,",6,151
lost,6,152
up,6,153
form,6,154
tell,6,155
light,6,156
vales,6,157
earth,6,158
laugh,6,159
these,6,160
made,6,161
go,6,162
weep.,6,163
fear,6,164
cannot,6,165
seek,6,166
"me,",6,167
more,6,168
there,6,169
trembling,6,170
should,6,171
sun,6,172
"deep,",6,173
