Word,Freq,Rank
the,992,1
and,860,2
to,683,3
of,605,4
i,520,5
my,499,6
a,497,7
you,449,8
in,377,9
it,349,10
that,341,11
ham.,337,12
is,296,13
his,283,14
not,268,15
your,253,16
with,249,17
but,248,18
this,238,19
for,227,20
as,196,21
what,190,22
he,189,23
be,174,24
haue,171,25
me,164,26
so,153,27
will,139,28
our,130,29
we,126,30
are,117,31
him,116,32
no,114,33
if,110,34
on,108,35
shall,106,36
by,103,37
or,102,38
thou,101,39
king.,96,40
hor.,95,41
let,94,42
then,92,43
good,91,44
thy,90,45
all,87,46
from,86,47
they,86,48
how,85,49
do,85,50
her,83,51
lord,83,52
at,81,53
most,77,54
more,76,55
was,75,56
"lord,",73,57
like,73,58
enter,72,59
oh,71,60
now,68,61
come,67,62
would,66,63
qu.,62,64
'tis,62,65
may,61,66
laer.,60,67
there,60,68
know,59,69
ile,58,70
giue,58,71
hath,57,72
must,57,73
did,56,74
ophe.,56,75
should,54,76
which,53,77
an,53,78
make,52,79
why,52,80
such,51,81
where,51,82
when,51,83
vpon,50,84
pol.,49,85
very,49,86
their,48,87
am,48,88
them,45,89
some,45,90
had,44,91
rosin.,43,92
selfe,43,93
speake,43,94
doe,43,95
these,42,96
much,42,97
she,42,98
hamlet,41,99
tell,41,100
out,40,101
king,40,102
too,40,103
thee,39,104
one,39,105
well,38,106
polon.,38,107
vs,37,108
thinke,37,109
mine,37,110
go,36,111
yet,36,112
see,35,113
say,34,114
heere,34,115
who,34,116
th',33,117
"sir,",33,118
loue,33,119
lord?,33,120
nor,32,121
thus,32,122
can,32,123
take,32,124
"it,",31,125
o,31,126
man,31,127
could,31,128
mar.,31,129
"you,",30,130
clo.,29,131
time,29,132
father,29,133
"king,",28,134
looke,28,135
might,28,136
"him,",28,137
owne,28,138
"come,",27,139
cannot,27,140
whose,27,141
"hamlet,",27,142
doth,27,143
pray,26,144
vp,26,145
into,26,146
were,26,147
heare,25,148
&,25,149
neuer,24,150
made,24,151
hold,24,152
call,23,153
"me,",22,154
set,22,155
put,22,156
though,22,157
exeunt.,22,158
both,22,159
"i,",22,160
leaue,22,161
hamlet.,21,162
hast,21,163
two,20,164
euen,20,165
sweet,20,166
"no,",20,167
against,20,168
guild.,20,169
till,19,170
heauen,19,171
comes,19,172
deere,19,173
him.,19,174
dead,19,175
those,19,176
great,19,177
i'th',19,178
poore,19,179
head,18,180
mother,18,181
thing,18,182
play,18,183
osr.,18,184
exit,18,185
night,18,186
"not,",18,187
nothing,18,188
shew,18,189
hee,18,190
fathers,18,191
"loue,",18,192
"horatio,",17,193
about,17,194
"vs,",17,195
queene,17,196
any,17,197
does,17,198
"well,",17,199
there's,16,200
world,16,201
sir,16,202
indeed,16,203
beleeue,16,204
you:,15,205
goe,15,206
againe,15,207
"heauen,",15,208
ere,15,209
noble,15,210
that's,15,211
meanes,15,212
old,15,213
this?,15,214
"selfe,",15,215
bee,15,216
god,15,217
"death,",15,218
soule,15,219
"nay,",15,220
"so,",15,221
betweene,15,222
art,15,223
keepe,15,224
makes,15,225
"laertes,",15,226
me.,14,227
matter,14,228
faire,14,229
kin.,14,230
many,14,231
since,14,232
feare,14,233
ha's,14,234
seene,14,235
before,14,236
nature,13,237
players,13,238
"soule,",13,239
still,13,240
words,13,241
stand,13,242
madnesse,13,243
you?,13,244
part,13,245
follow,13,246
sent,13,247
lord.,13,248
hand,13,249
finde,13,250
off,13,251
beare,13,252
reynol.,13,253
therefore,13,254
long,13,255
same,13,256
mad,13,257
"life,",13,258
enter.,13,259
"mother,",13,260
liue,13,261
it.,13,262
wee'l,13,263
something,12,264
true,12,265
better,12,266
bring,12,267
laertes,12,268
horatio,12,269
beene,12,270
"queene,",12,271
"father,",12,272
o're,12,273
other.,12,274
without,12,275
farre,12,276
"now,",12,277
once,12,278
thoughts,12,279
saw,12,280
"this,",12,281
vse,12,282
day,11,283
what's,11,284
death,11,285
"ophelia,",11,286
speech,11,287
downe,11,288
"say,",11,289
eare,11,290
first,11,291
euer,11,292
life,11,293
dost,11,294
is't,11,295
little,11,296
verie,11,297
welcome,11,298
"time,",11,299
each,11,300
nay,11,301
away,11,302
after,11,303
none,11,304
heart,11,305
other,11,306
foule,10,307
within,10,308
"then,",10,309
ghost.,10,310
end,10,311
denmarke,10,312
giuen,10,313
forme,10,314
done,10,315
him:,10,316
"night,",10,317
play.,10,318
excellent,10,319
"downe,",10,320
marke,10,321
let's,10,322
england,10,323
remember,10,324
me?,10,325
guil.,10,326
goes,10,327
"is,",10,328
barn.,10,329
fit,10,330
"be,",10,331
best,10,332
"indeed,",10,333
"oh,",10,334
vertue,10,335
being,10,336
grace,9,337
hora.,9,338
draw,9,339
further,9,340
"heart,",9,341
"too,",9,342
full,9,343
thought,9,344
"all,",9,345
"againe,",9,346
me:,9,347
eyes,9,348
pyrrhus,9,349
gho.,9,350
ghost,9,351
earth,9,352
winde,9,353
question,9,354
so:,9,355
me;,9,356
kinde,9,357
polonius.,9,358
"go,",9,359
thine,9,360
cause,9,361
oft,9,362
three,9,363
get,9,364
rest,9,365
'twere,9,366
"out,",9,367
(as,9,368
minde,8,369
"marry,",8,370
euery,8,371
sonne,8,372
sit,8,373
honest,8,374
young,8,375
fran.,8,376
lay,8,377
"man,",8,378
both.,8,379
"earth,",8,380
stay,8,381
while,8,382
that?,8,383
body,8,384
deare,8,385
please,8,386
yong,8,387
heard,8,388
else,8,389
came,8,390
"sword,",8,391
seeme,8,392
you.,8,393
free,8,394
"dead,",8,395
thousand,8,396
seeke,8,397
brothers,8,398
way,8,399
things,8,400
himselfe,8,401
all.,8,402
whole,8,403
second,8,404
last,8,405
fell,8,406
"what,",8,407
"friends,",8,408
wilt,8,409
newes,8,410
businesse,8,411
watch,8,412
sweare,8,413
spirit,7,414
"thee,",7,415
thanke,7,416
almost,7,417
thee.,7,418
common,7,419
"youth,",7,420
"madam,",7,421
doubt,7,422
daughter,7,423
reason,7,424
men,7,425
breake,7,426
maiesty,7,427
tongue,7,428
you;,7,429
hamlets,7,430
bin,7,431
breath,7,432
custome,7,433
through,7,434
passion,7,435
guildensterne.,7,436
gaue,7,437
loue.,7,438
"fortinbras,",7,439
power,7,440
"away,",7,441
lye,7,442
drinke,7,443
meane,7,444
"on,",7,445
kings,7,446
duty,7,447
selues,7,448
"god,",7,449
"done,",7,450
marry,7,451
beseech,7,452
receiue,7,453
walke,7,454
within.,7,455
"know,",7,456
"himselfe,",7,457
"nature,",7,458
seemes,7,459
"gentlemen,",7,460
ye,7,461
well:,7,462
"sonne,",7,463
ayre,7,464
"day,",7,465
wee,7,466
it?,7,467
top,7,468
bar.,7,469
now?,7,470
strange,7,471
friends,7,472
sword,7,473
answer,7,474
right,7,475
giues,7,476
neere,7,477
it:,7,478
"gone,",6,479
alas,6,480
greefe,6,481
takes,6,482
alone,6,483
"bed,",6,484
hot,6,485
blood,6,486
them.,6,487
"watch,",6,488
true:,6,489
"fortune,",6,490
"polonius,",6,491
grow,6,492
fortunes,6,493
reuenge,6,494
"do,",6,495
"gertrude,",6,496
ophelia,6,497
queen.,6,498
"will,",6,499
farewell.,6,500
seruice,6,501
fare,6,502
iudgement,6,503
fashion,6,504
keepes,6,505
it;,6,506
here,6,507
"that,",6,508
hamlet?,6,509
"them,",6,510
face,6,511
false,6,512
bid,6,513
bad,6,514
fine,6,515
"world,",6,516
name,6,517
"why,",6,518
damned,6,519
"more,",6,520
vnderstand,6,521
purpose,6,522
double,6,523
cast,6,524
faith,6,525
offence,6,526
poyson,6,527
"her,",6,528
"rosincrance,",6,529
"eyes,",6,530
foole,6,531
helpe,6,532
ought,6,533
youth,6,534
"vp,",6,535
he's,6,536
"eye,",6,537
eye,6,538
word,6,539
heauens,6,540
shewes,6,541
action,5,542
them:,5,543
sir:,5,544
queene.,5,545
"heard,",5,546
lost,5,547
pardon,5,548
friend,5,549
graue,5,550
told,5,551
dread,5,552
dayes,5,553
'gainst,5,554
mothers,5,555
age,5,556
death.,5,557
said,5,558
mee,5,559
cries,5,560
times,5,561
"hand,",5,562
peece,5,563
mans,5,564
"hell,",5,565
lesse,5,566
"soft,",5,567
noise,5,568
laertes?,5,569
thinkes,5,570
circumstance,5,571
this:,5,572
wicked,5,573
guildensterne,5,574
light,5,575
"he,",5,576
"helpe,",5,577
e'ene,5,578
fat,5,579
woman,5,580
another,5,581
you'l,5,582
act,5,583
scull,5,584
fellow,5,585
"friend,",5,586
table,5,587
neither,5,588
brother,5,589
"which,",5,590
pale,5,591
fortinbras,5,592
buried,5,593
effect,5,594
"faith,",5,595
state,5,596
vilde,5,597
not?,5,598
ill,5,599
too't,5,600
armes,5,601
vnto,5,602
writ,5,603
late,5,604
whereon,5,605
"o,",5,606
'twas,5,607
for.,5,608
shalt,5,609
"fire,",5,610
so.,5,611
gracious,5,612
quiet,5,613
horatio.,5,614
conscience,5,615
tis,5,616
anon,5,617
round,5,618
went,5,619
"thoughts,",5,620
heere's,5,621
"spirit,",5,622
borne,5,623
"state,",5,624
ophelia.,5,625
desperate,5,626
wager,5,627
onely,5,628
mother.,5,629
found,5,630
generall,5,631
"heere,",5,632
needs,5,633
"england,",5,634
"said,",5,635
husband,5,636
look,5,637
danish,5,638
vnder,5,639
honor,5,640
"blood,",5,641
hands,5,642
hope,5,643
teares,5,644
blacke,5,645
bed,5,646
"ho,",5,647
letters,5,648
players.,5,649
fall,5,650
drowne,5,651
saue,5,652
teach,5,653
sure,5,654
in's,5,655
do's,5,656
whether,4,657
marcellus.,4,658
eares,4,659
"there,",4,660
knowne,4,661
gentlemen,4,662
meete,4,663
it's,4,664
"slaine,",4,665
"madnesse,",4,666
fellowes,4,667
"speech,",4,668
knaue,4,669
"ioy,",4,670
behinde,4,671
"thought,",4,672
"france,",4,673
"breath,",4,674
nature;,4,675
kill'd,4,676
goodnight.,4,677
thrice,4,678
"passion,",4,679
gallowes,4,680
moue,4,681
truly,4,682
lend,4,683
tooke,4,684
choose,4,685
"mouth,",4,686
knew,4,687
seeming,4,688
would'st,4,689
"adue,",4,690
meet,4,691
humbly,4,692
"speake,",4,693
"last,",4,694
this.,4,695
damn'd,4,696
fault,4,697
closes,4,698
"daughter,",4,699
visit,4,700
dangerous,4,701
"crowne,",4,702
cannon,4,703
sodaine,4,704
foure,4,705
