Word,Freq,Rank
the,645,1
and,544,2
to,383,3
of,337,4
i,314,5
a,238,6
that,220,7
my,201,8
in,195,9
is,175,10
you,166,11
with,152,12
not,145,13
his,143,14
macb.,137,15
it,134,16
be,132,17
your,126,18
our,123,19
but,120,20
haue,119,21
he,107,22
for,107,23
what,100,24
this,95,25
thou,85,26
as,85,27
we,82,28
which,78,29
so,78,30
enter,74,31
me,74,32
all,73,33
will,69,34
they,68,35
shall,67,36
are,65,37
no,63,38
their,62,39
macd.,58,40
vpon,58,41
then,57,42
him,56,43
from,56,44
thy,56,45
yet,52,46
hath,52,47
on,51,48
at,49,49
by,47,50
would,45,51
was,44,52
thee,43,53
if,42,54
good,42,55
vs,42,56
lady.,41,57
who,40,58
should,40,59
now,40,60
rosse.,40,61
when,39,62
did,38,63
make,38,64
were,38,65
do,38,66
or,37,67
more,37,68
like,37,69
her,36,70
must,36,71
come,36,72
let,35,73
ile,35,74
'tis,35,75
where,34,76
how,32,77
had,32,78
why,31,79
doe,30,80
great,30,81
exeunt.,29,82
there,29,83
may,29,84
am,29,85
an,28,86
know,26,87
them,26,88
macbeth,26,89
th',26,90
mal.,25,91
one,25,92
see,25,93
banq.,24,94
nor,24,95
"macbeth,",24,96
giue,24,97
can,24,98
those,24,99
such,24,100
say,22,101
these,22,102
scena,22,103
most,22,104
things,21,105
"me,",21,106
looke,21,107
la.,21,108
1.,21,109
time,21,110
lenox.,20,111
mine,20,112
cannot,20,113
till,20,114
speake,20,115
vp,20,116
doct.,20,117
wife.,19,118
"time,",19,119
thane,19,120
done,19,121
too,19,122
"sir,",18,123
"king,",18,124
king.,18,125
heare,18,126
"him,",18,127
"lord,",17,128
night,17,129
&,17,130
some,17,131
take,17,132
though,17,133
she,17,134
euery,16,135
all.,16,136
put,16,137
"well,",16,138
feare,16,139
do's,16,140
out,16,141
man,16,142
heere,15,143
king,15,144
owne,15,145
ere,15,146
"come,",15,147
selfe,15,148
ha's,15,149
i'th',15,150
both,15,151
malc.,15,152
poore,15,153
worthy,15,154
there's,14,155
could,14,156
shew,14,157
son.,14,158
against,14,159
whose,14,160
"you,",14,161
3.,14,162
"i,",14,163
before,14,164
well,13,165
haile,13,166
banquo,13,167
o'th',13,168
pray,13,169
sey.,13,170
without,13,171
"say,",13,172
"it,",13,173
each,13,174
bloody,13,175
o,13,176
strange,13,177
three,13,178
"banquo,",13,179
heart,13,180
blood,13,181
2.,12,182
nature,12,183
what's,12,184
goe,12,185
new,12,186
nothing,12,187
noble,12,188
into,12,189
made,12,190
god,12,191
neuer,12,192
keepe,12,193
exit,12,194
1,11,195
still,11,196
day,11,197
dare,11,198
finde,11,199
gent.,11,200
"not,",11,201
art,11,202
much,11,203
sleepe,11,204
way,11,205
comes,11,206
very,11,207
leaue,11,208
"them,",11,209
go,10,210
thinke,10,211
euen,10,212
whom,10,213
heauen,10,214
lord,10,215
againe,10,216
name,10,217
stand,10,218
mac.,10,219
else,10,220
tell,9,221
two,9,222
you:,9,223
me.,9,224
within,9,225
borne,9,226
royall,9,227
about,9,228
onely,9,229
thus,9,230
knock.,9,231
thought,9,232
bring,9,233
many,9,234
being,9,235
life,9,236
"feare,",9,237
that's,9,238
full,9,239
first,9,240
loue,9,241
macbeth.,9,242
beene,9,243
here,9,244
wood,9,245
get,9,246
"thee,",8,247
men,8,248
call,8,249
you.,8,250
highnesse,8,251
death,8,252
old,8,253
any,8,254
cawdor,8,255
beare,8,256
other,8,257
lesse,8,258
