Word,Freq,Rank
the,4594,1
a,2109,2
and,2109,3
of,2068,4
to,1371,5
he,1253,6
in,1216,7
was,1103,8
his,955,9
that,798,10
i,765,11
with,726,12
it,715,13
as,614,14
but,592,15
you,526,16
had,514,17
on,432,18
at,428,19
is,420,20
for,397,21
like,313,22
said,307,23
not,302,24
be,296,25
have,282,26
or,280,27
by,263,28
one,261,29
an,239,30
this,235,31
were,232,32
him,230,33
from,226,34
all,226,35
which,225,36
man,225,37
"""i",222,38
father,219,39
they,214,40
if,212,41
more,211,42
there,206,43
so,186,44
my,185,45
very,183,46
out,174,47
some,170,48
up,168,49
about,167,50
who,167,51
could,165,52
than,159,53
are,149,54
been,148,55
brown,146,56
rather,142,57
when,141,58
into,140,59
only,138,60
little,137,61
what,133,62
would,130,63
other,129,64
no,125,65
then,122,66
me,119,67
old,116,68
know,116,69
her,111,70
think,110,71
down,109,72
looked,109,73
two,108,74
will,107,75
seemed,106,76
she,106,77
we,105,78
do,103,79
even,103,80
did,102,81
something,99,82
just,98,83
their,97,84
mr,95,85
has,92,86
such,91,87
don't,90,88
still,90,89
quite,87,90
black,84,91
see,84,92
your,83,93
over,83,94
priest,83,95
long,80,96
any,80,97
can,80,98
made,80,99
heard,79,100
great,79,101
never,76,102
before,75,103
face,74,104
asked,74,105
"brown,",73,106
them,72,107
came,72,108
after,72,109
back,72,110
must,71,111
head,70,112
though,70,113
most,69,114
say,69,115
might,69,116
"""but",66,117
almost,66,118
went,65,119
really,64,120
first,64,121
tell,63,122
flambeau,62,123
own,61,124
eyes,61,125
its,60,126
much,60,127
stood,60,128
come,59,129
look,59,130
"said,",59,131
because,57,132
"""and",57,133
sort,57,134
those,56,135
yet,56,136
saw,56,137
should,56,138
himself,55,139
round,55,140
found,54,141
where,54,142
men,53,143
now,53,144
it.,52,145
door,52,146
cried,52,147
figure,51,148
"him,",51,149
got,51,150
against,51,151
thought,51,152
"""you",50,153
him.,50,154
our,50,155
another,50,156
under,49,157
without,49,158
across,49,159
seen,49,160
both,49,161
looking,49,162
these,48,163
may,48,164
turned,48,165
"it,",48,166
through,47,167
it's,47,168
white,47,169
am,47,170
small,46,171
"""the",46,172
replied,46,173
go,46,174
here,46,175
towards,46,176
how,45,177
three,45,178
same,45,179
answered,44,180
"""it",44,181
thing,44,182
why,44,183
take,44,184
time,44,185
dark,43,186
mean,43,187
house,43,188
"""he",43,189
whole,43,190
once,43,191
hair,42,192
get,42,193
place,42,194
always,42,195
being,42,196
things,41,197
young,40,198
many,40,199
nothing,40,200
last,40,201
red,40,202
began,40,203
left,39,204
brown.,39,205
off,39,206
end,39,207
certain,39,208
can't,39,209
also,38,210
sir,38,211
well,38,212
kind,37,213
every,37,214
behind,37,215
"flambeau,",37,216
"""what",37,217
garden,37,218
make,37,219
put,37,220
away,36,221
want,36,222
between,36,223
way,35,224
suddenly,35,225
too,35,226
front,35,227
called,35,228
going,34,229
took,34,230
"""that",34,231
voice,34,232
friend,34,233
find,34,234
dr,34,235
already,33,236
again,32,237
family,32,238
"then,",32,239
big,32,240
glass,32,241
name,32,242
grey,32,243
good,32,244
room,31,245
told,30,246
us,30,247
few,30,248
shall,30,249
he's,30,250
hat,30,251
boulnois,30,252
people,30,253
"and,",30,254
moment,29,255
"priest,",29,256
side,29,257
sat,29,258
half,29,259
anything,29,260
ran,29,261
enough,28,262
above,28,263
mere,28,264
along,28,265
english,28,266
didn't,28,267
blue,27,268
coming,27,269
felt,27,270
"man,",27,271
let,27,272
instant,27,273
miss,27,274
set,26,275
hand,26,276
upon,26,277
call,26,278
large,26,279
"""well,",25,280
said.,25,281
perhaps,25,282
held,25,283
lord,25,284
short,25,285
walked,25,286
part,24,287
poor,24,288
pendragon,24,289
words,24,290
green,24,291
girl,24,292
"well,",23,293
less,23,294
corner,23,295
story,23,296
muscari,23,297
each,23,298
knew,23,299
whether,23,300
far,23,301
word,23,302
"""if",22,303
man's,22,304
point,22,305
"""do",22,306
them.,22,307
"""my",22,308
done,22,309
secret,22,310
fell,22,311
sure,22,312
strange,22,313
hardly,22,314
i'm,21,315
lay,21,316
table,21,317
certainly,21,318
appeared,21,319
whom,21,320
broken,21,321
french,21,322
tall,21,323
eye,21,324
among,21,325
ever,21,326
except,21,327
sent,21,328
duke,21,329
high,21,330
light,21,331
opened,21,332
"was,",20,333
right,20,334
open,20,335
fact,20,336
help,20,337
somewhat,20,338
common,20,339
close,20,340
"that,",20,341
either,20,342
air,20,343
new,20,344
having,20,345
wild,20,346
somehow,20,347
sense,19,348
sea,19,349
while,19,350
outside,19,351
talk,19,352
sitting,19,353
major,19,354
"you,",19,355
till,19,356
third,19,357
feet,19,358
believe,19,359
beyond,19,360
that's,19,361
fanshaw,19,362
seems,19,363
king,19,364
"""why,",19,365
fear,18,366
hear,18,367
gentleman,18,368
cut,18,369
full,18,370
probably,18,371
priest.,18,372
blood,18,373
strong,18,374
odd,18,375
known,18,376
dead,18,377
next,18,378
equally,18,379
"""i'm",18,380
flambeau.,18,381
wall,18,382
keep,18,383
give,18,384
until,18,385
human,17,386
american,17,387
seem,17,388
brother,17,389
simply,17,390
suppose,17,391
gone,17,392
ask,17,393
hirsch,17,394
spoke,17,395
second,17,396
roman,17,397
evening,17,398
gave,17,399
does,17,400
followed,17,401
cutler,17,402
read,17,403
used,17,404
better,17,405
stand,17,406
"mean?""",17,407
burst,17,408
"table,",17,409
wrong,17,410
machine,17,411
private,17,412
"""a",17,413
passage,17,414
whose,17,415
seymour,17,416
person,16,417
noise,16,418
passed,16,419
kidd,16,420
"face,",16,421
silent,16,422
doesn't,16,423
"muscari,",16,424
"however,",16,425
trees,16,426
near,16,427
kill,16,428
wood,16,429
hold,16,430
"voice,",16,431
john,16,432
exactly,16,433
"""this",16,434
continued,16,435
showed,16,436
colour,16,437
i've,16,438
happened,16,439
mrs,16,440
window,16,441
nearly,16,442
real,16,443
pretty,16,444
other.,15,445
natural,15,446
least,15,447
business,15,448
tower,15,449
woman,15,450
fallen,15,451
deal,15,452
standing,15,453
opposite,15,454
low,15,455
else,15,456
heavy,15,457
yellow,15,458
"me,",15,459
isn't,15,460
colonel,15,461
purple,15,462
meant,15,463
threw,15,464
said:,15,465
often,15,466
huge,15,467
curious,15,468
"it.""",15,469
nobody,15,470
myself,15,471
"""is",15,472
"""well,""",15,473
"""there",15,474
comparatively,15,475
"""oh,",15,476
philip,15,477
me.,14,478
river,14,479
doubt,14,480
cannot,14,481
shot,14,482
"""yes,""",14,483
paper,14,484
"other,",14,485
fancy,14,486
judge,14,487
case,14,488
prince,14,489
years,14,490
water,14,491
doctor,14,492
lady,14,493
you've,14,494
looks,14,495
money,14,496
"indeed,",14,497
different,14,498
cray,14,499
gold,14,500
road,14,501
"hair,",14,502
extraordinary,14,503
mouth,14,504
"again,",14,505
"""to",14,506
talking,14,507
observed,13,508
there's,13,509
reason,13,510
tried,13,511
broke,13,512
true,13,513
since,13,514
top,13,515
"them,",13,516
face.,13,517
nor,13,518
inside,13,519
harrogate,13,520
turn,13,521
carried,13,522
pointed,13,523
"black,",13,524
indeed,13,525
answer,13,526
turning,13,527
"sea,",13,528
clerical,13,529
leave,13,530
rose,13,531
couldn't,13,532
street,13,533
taken,13,534
champion,13,535
police,13,536
brought,13,537
captain,13,538
anyone,13,539
"""that's",13,540
public,13,541
sea.,13,542
hand.,13,543
friends,13,544
voice.,13,545
"now,",13,546
wilson,12,547
alone,12,548
written,12,549
expression,12,550
meet,12,551
"all,",12,552
todhunter,12,553
park,12,554
picked,12,555
free,12,556
home,12,557
moved,12,558
mountain,12,559
entirely,12,560
scientific,12,561
struck,12,562
staring,12,563
fall,12,564
usher,12,565
within,12,566
save,12,567
sprang,12,568
mysterious,12,569
everything,12,570
kept,12,571
"room,",12,572
show,12,573
curse,12,574
around,12,575
won't,12,576
evidently,12,577
flung,12,578
carstairs,12,579
again.,12,580
