Word,Freq,Rank
the,3566,1
a,1719,2
of,1710,3
and,1602,4
he,1080,5
to,1038,6
in,902,7
his,804,8
that,790,9
was,703,10
i,640,11
with,556,12
you,527,13
it,510,14
as,487,15
is,426,16
had,425,17
said,405,18
but,399,19
not,347,20
at,341,21
syme,308,22
for,306,23
they,302,24
on,292,25
like,253,26
all,250,27
have,246,28
this,244,29
be,243,30
an,237,31
are,223,32
were,212,33
we,207,34
man,202,35
which,193,36
"""i",187,37
if,187,38
out,182,39
one,181,40
him,178,41
there,171,42
by,168,43
who,167,44
or,159,45
from,148,46
could,148,47
so,143,48
up,141,49
into,140,50
only,136,51
my,134,52
when,127,53
some,121,54
would,118,55
what,116,56
been,114,57
then,113,58
about,111,59
will,110,60
their,110,61
more,110,62
do,106,63
me,106,64
"syme,",106,65
your,105,66
down,101,67
very,101,68
has,100,69
professor,97,70
no,93,71
am,93,72
seemed,89,73
even,89,74
face,87,75
old,87,76
can,86,77
great,83,78
than,82,79
quite,81,80
"""you",80,81
little,78,82
see,77,83
dr.,76,84
looked,75,85
them,74,86
came,72,87
upon,72,88
almost,71,89
two,70,90
still,70,91
men,69,92
might,69,93
asked,68,94
went,68,95
did,67,96
never,67,97
black,64,98
over,64,99
"""it",64,100
other,63,101
first,62,102
really,61,103
any,60,104
know,60,105
made,60,106
saw,60,107
these,59,108
long,58,109
"said,",58,110
may,58,111
before,57,112
whole,57,113
think,57,114
stood,56,115
after,56,116
through,56,117
say,55,118
such,55,119
sunday,55,120
off,55,121
last,54,122
himself,53,123
back,53,124
those,53,125
something,53,126
should,53,127
time,53,128
thing,52,129
good,51,130
gregory,51,131
our,50,132
us,50,133
don't,50,134
"""the",50,135
under,50,136
tell,50,137
too,50,138
come,50,139
eyes,49,140
just,49,141
turned,48,142
shall,48,143
white,48,144
being,48,145
now,47,146
must,47,147
its,46,148
bull,46,149
president,46,150
cried,46,151
because,46,152
syme.,46,153
against,45,154
make,44,155
"""what",43,156
thought,43,157
most,43,158
"him,",43,159
it.,42,160
new,41,161
going,41,162
sort,41,163
put,41,164
red,41,165
across,41,166
head,40,167
own,40,168
round,40,169
dark,40,170
found,40,171
always,39,172
suddenly,39,173
"""but",38,174
"""and",38,175
yet,38,176
rather,38,177
took,37,178
sat,37,179
how,36,180
felt,36,181
marquis,36,182
without,36,183
look,36,184
go,35,185
get,35,186
him.,35,187
secretary,35,188
people,35,189
"bull,",35,190
much,34,191
"""we",34,192
once,34,193
left,33,194
right,33,195
"""that",33,196
"it,",33,197
three,33,198
de,33,199
heard,32,200
where,32,201
blue,32,202
each,32,203
behind,32,204
got,31,205
looking,31,206
believe,31,207
knew,31,208
away,31,209
here,31,210
"professor,",30,211
"gregory,",30,212
light,30,213
towards,30,214
street,30,215
place,30,216
struck,30,217
also,30,218
take,30,219
syme's,30,220
began,30,221
human,29,222
moment,29,223
end,29,224
why,29,225
though,29,226
voice,29,227
colonel,29,228
kind,28,229
replied,28,230
let,28,231
can't,28,232
police,27,233
again,27,234
common,27,235
them.,27,236
between,27,237
cannot,27,238
well,27,239
fell,27,240
another,26,241
small,26,242
ordinary,26,243
hair,26,244
half,26,245
world,25,246
answered,25,247
feel,25,248
way,25,249
find,25,250
called,25,251
ever,25,252
perhaps,25,253
every,25,254
many,25,255
sense,24,256
"""he",24,257
rose,24,258
along,24,259
hand,24,260
things,24,261
anything,24,262
beard,24,263
nothing,24,264
"however,",24,265
seen,24,266
"you,",24,267
whether,23,268
mere,23,269
enough,23,270
broke,23,271
far,22,272
hear,22,273
"man,",22,274
side,22,275
said.,22,276
man's,22,277
room,22,278
comrade,22,279
figure,21,280
"""yes,""",21,281
hat,21,282
front,21,283
"""my",21,284
fear,21,285
while,21,286
call,21,287
whom,21,288
high,21,289
ask,21,290
same,21,291
somewhat,21,292
gave,21,293
sprang,20,294
sudden,20,295
gone,20,296
french,20,297
grey,20,298
large,20,299
anarchist,20,300
earth,20,301
standing,20,302
talk,20,303
policeman,20,304
coming,20,305
certain,19,306
everything,19,307
you.,19,308
wild,19,309
"""oh,",19,310
second,19,311
mr.,19,312
sun,19,313
word,19,314
poet,18,315
hands,18,316
"me,",18,317
passed,18,318
next,18,319
"""no,""",18,320
road,18,321
does,18,322
remember,18,323
above,18,324
understand,18,325
pale,18,326
merely,18,327
fight,18,328
mean,18,329
give,18,330
mind,18,331
square,18,332
staring,18,333
heavy,18,334
want,18,335
already,17,336
world.,17,337
gentleman,17,338
gogol,17,339
others,17,340
few,17,341
"you,""",17,342
silence,17,343
sometimes,17,344
top,17,345
strange,17,346
both,17,347
ran,17,348
yellow,16,349
"""if",16,350
friend,16,351
day,16,352
told,16,353
soon,16,354
"secretary,",16,355
anarchists,16,356
true,16,357
words,16,358
seem,16,359
sword,16,360
five,16,361
"them,",16,362
"marquis,",16,363
except,16,364
table,16,365
iron,16,366
cloud,16,367
"""there",16,368
myself,16,369
professor.,16,370
suppose,16,371
chapter,16,372
six,16,373
it's,15,374
.,15,375
train,15,376
least,15,377
four,15,378
fancy,15,379
green,15,380
seems,15,381
face.,15,382
"""well,",15,383
hundred,15,384
themselves,15,385
pointed,15,386
slowly,15,387
spoke,15,388
"well,",15,389
modern,15,390
"this,",15,391
morning,15,392
"indeed,",15,393
simple,15,394
god,15,395
talking,15,396
me.,14,397
point,14,398
open,14,399
full,14,400
"president,",14,401
lifted,14,402
beyond,14,403
close,14,404
secret,14,405
fact,14,406
grew,14,407
huge,14,408
"table,",14,409
low,14,410
"""do",14,411
detective,14,412
anyone,14,413
fallen,14,414
break,14,415
"other,",14,416
smile,14,417
chance,14,418
silent,14,419
"was,",14,420
"colonel,",14,421
broken,14,422
walked,14,423
mad,14,424
serious,14,425
twenty,14,426
"it,""",14,427
dead,14,428
whose,14,429
led,13,430
i'm,13,431
part,13,432
certainly,13,433
"long,",13,434
"street,",13,435
"all,",13,436
gregory.,13,437
smile.,13,438
set,13,439
"us,",13,440
dressed,13,441
streets,13,442
"""they",13,443
night,13,444
eyes.,13,445
clear,13,446
name,13,447
real,13,448
all.,13,449
"silence,",13,450
sea.,13,451
feet,13,452
instant,13,453
walk,13,454
hardly,13,455
life,13,456
flung,13,457
doctor,13,458
until,13,459
dancing,13,460
matter,12,461
"room,",12,462
big,12,463
reason,12,464
gentlemen,12,465
"voice,",12,466
young,12,467
roar,12,468
"""this",12,469
table.,12,470
wish,12,471
walking,12,472
itself,12,473
"""are",12,474
"feet,",12,475
broad,12,476
enormous,12,477
"""is",12,478
said--,12,479
poor,12,480
queer,12,481
having,12,482
entered,12,483
run,12,484
swear,12,485
"now,",12,486
"so,",12,487
"""a",12,488
growing,12,489
taking,12,490
council,12,491
"cried,",12,492
forward,11,493
bright,11,494
nature,11,495
pull,11,496
"see,",11,497
need,11,498
finally,11,499
seven,11,500
"say,",11,501
better,11,502
secretary.,11,503
nose,11,504
bull.,11,505
cold,11,506
since,11,507
"and,",11,508
among,11,509
destroy,11,510
"himself,",11,511
promise,11,512
head.,11,513
either,11,514
twice,11,515
car,11,516
thursday,11,517
"it.""",11,518
worms,11,519
"is,",11,520
help,11,521
seconds,11,522
carried,11,523
remembered,11,524
other.,11,525
keep,11,526
cut,11,527
"yes,",11,528
silver,11,529
enemies,11,530
hand.,11,531
fixed,11,532
intellectual,11,533
best,11,534
voice.,11,535
lit,11,536
evening,11,537
indeed,11,538
"course,",11,539
st.,11,540
silly,11,541
nearer,11,542
making,11,543
caught,10,544
"is,""",10,545
sea,10,546
early,10,547
heaven,10,548
comes,10,549
living,10,550
wore,10,551
"men,",10,552
line,10,553
distant,10,554
"sunday,",10,555
tall,10,556
"fact,",10,557
leave,10,558
solid,10,559
"me.""",10,560
marquis's,10,561
"""not",10,562
hope,10,563
sunlight,10,564
gabriel,10,565
deep,10,566
taken,10,567
resumed,10,568
clothes,10,569
corner,10,570
sunday.,10,571
blind,10,572
smiling,10,573
jolly,10,574
right.,10,575
air,10,576
talked,10,577
catch,10,578
syme;,10,579
devil,10,580
pause,10,581
free,10,582
"face,",10,583
cried.,10,584
window,10,585
out.,10,586
fine,10,587
moved,10,588
chair,10,589
presence,10,590
truth,10,591
crime,10,592
saffron,10,593
sitting,10,594
strolled,10,595
house,10,596
turn,10,597
"""well,""",10,598
mouth,10,599
strike,10,600
swung,10,601
minutes,10,602
bulk,10,603
elephant,10,604
"hand,",10,605
"eyes,",10,606
repeated,10,607
card,10,608
pulled,10,609
soul,10,610
cab,10,611
stared,10,612
read,10,613
road.,10,614
"out,",10,615
drew,10,616
followed,9,617
waiting,9,618
perfect,9,619
breaking,9,620
sunset,9,621
"""no,",9,622
alone,9,623
"up,",9,624
stick,9,625
sky,9,626
"then,",9,627
"policeman,",9,628
town,9,629
gradually,9,630
this.,9,631
running,9,632
dangerous,9,633
thick,9,634
renard,9,635
lay,9,636
knows,9,637
stone,9,638
"me,""",9,639
continued,9,640
final,9,641
probably,9,642
hour,9,643
answer,9,644
means,9,645
again.,9,646
"""when",9,647
ratcliffe,9,648
man.,9,649
enemy,9,650
lantern,9,651
insane,9,652
"moment,",9,653
you?,9,654
inspector,9,655
else,9,656
afraid,9,657
bad,9,658
"hair,",9,659
given,9,660
sky.,9,661
outside,9,662
stand,9,663
gregory's,9,664
"""have",9,665
"""don't",9,666
didn't,9,667
"are,",9,668
held,9,669
afterwards,9,670
"""why",9,671
together,9,672
"""so",9,673
poetical,9,674
"""",9,675
short,9,676
"river,",9,677
opened,9,678
supreme,9,679
original,9,680
order,9,681
glass,9,682
kept,9,683
trust,9,684
ought,9,685
became,9,686
smiled,9,687
curious,9,688
you're,9,689
he's,9,690
dress,9,691
"""where",9,692
happy,9,693
bull's,8,694
"think,",8,695
way.,8,696
understood,8,697
room.,8,698
"spoke,",8,699
care,8,700
"down,",8,701
tried,8,702
started,8,703
dim,8,704
"last,",8,705
foreign,8,706
sunday's,8,707
laughed,8,708
"""will",8,709
"gogol,",8,710
wicked,8,711
throw,8,712
"off,",8,713
wood,8,714
notion,8,715
somehow,8,716
leant,8,717
forgive,8,718
express,8,719
"smile,",8,720
done,8,721
bit,8,722
impression,8,723
idea,8,724
particular,8,725
"mean?""",8,726
listen,8,727
follow,8,728
trees,8,729
army,8,730
general,8,731
her,8,732
drink,8,733
edge,8,734
empty,8,735
especially,8,736
middle,8,737
stepped,8,738
question,8,739
quiet,8,740
station,8,741
inside,8,742
strong,8,743
rich,8,744
ten,8,745
whatever,8,746
darkness,8,747
whenever,8,748
paris,8,749
terrible,8,750
"anarchists,",8,751
thrown,8,752
paralytic,8,753
rigid,8,754
"""of",8,755
"""why,",8,756
playing,8,757
realised,8,758
horses,8,759
"again,",8,760
ratcliffe.,8,761
"honour,",8,762
doubt,8,763
town.,8,764
horse,8,765
exactly,8,766
form,8,767
awful,8,768
bent,8,769
hard,8,770
practical,8,771
"you?""",8,772
conversation,8,773
explain,8,774
leicester,8,775
dear,8,776
heart,8,777
"""yes,",8,778
vast,8,779
central,8,780
railway,8,781
coat,8,782
seat,8,783
dropped,7,784
commonly,7,785
together.,7,786
door,7,787
voice--,7,788
advancing,7,789
days,7,790
"pocket,",7,791
adventures,7,792
plans,7,793
roared,7,794
"""as",7,795
known,7,796
fighting,7,797
faces,7,798
yourself,7,799
spectacles,7,800
"sea,",7,801
says,7,802
past,7,803
"balcony,",7,804
brown,7,805
horrible,7,806
"slowly,",7,807
"ratcliffe,",7,808
"""that's",7,809
"man,""",7,810
stare,7,811
plain,7,812
"council,",7,813
sad,7,814
flying,7,815
beastly,7,816
"""let",7,817
brain,7,818
less,7,819
pleasure,7,820
utterly,7,821
energy,7,822
"car,",7,823
public,7,824
added,7,825
act,7,826
company,7,827
shot,7,828
balcony,7,829
curiosity.,7,830
threw,7,831
that's,7,832
buildings,7,833
"hat,",7,834
"pale,",7,835
inner,7,836
gesture,7,837
brought,7,838
"that,",7,839
third,7,840
pair,7,841
fought,7,842
often,7,843
"little,",7,844
himself.,7,845
beside,7,846
i'll,7,847
"us.""",7,848
"head,",7,849
"light,",7,850
"""mr.",7,851
english,7,852
actual,7,853
field,7,854
"""comrade",7,855
rest,7,856
fire,7,857
possible,7,858
nor,7,859
anarchist.,7,860
men.,7,861
"cab,",7,862
"""has",7,863
"""for",7,864
dreadful,7,865
person,7,866
frightful,7,867
branch,7,868
"that,""",7,869
lot,7,870
slight,7,871
silence.,7,872
"beard,",7,873
leap,7,874
thus,7,875
leaving,7,876
shaking,7,877
"""our",7,878
one.,7,879
friends,7,880
burning,7,881
quickly,7,882
straight,7,883
calling,7,884
leapt,7,885
respect,7,886
entirely,7,887
"""to",7,888
showed,7,889
grave,7,890
tree,7,891
"ducroix,",7,892
powerful,7,893
innocent,7,894
shining,7,895
chin,7,896
hold,7,897
she,7,898
unnatural,7,899
police.,6,900
partly,6,901
"way,",6,902
space,6,903
manner,6,904
hours,6,905
christians,6,906
feeling,6,907
met,6,908
blood,6,909
sword-stick,6,910
death.,6,911
rattling,6,912
distance,6,913
"""how",6,914
"there,",6,915
isn't,6,916
spring,6,917
mysterious,6,918
turning,6,919
eye,6,920
detectives,6,921
pistol,6,922
doing,6,923
"""dr.",6,924
"word,",6,925
british,6,926
"sense,",6,927
grow,6,928
perfectly,6,929
used,6,930
spectacles.,6,931
beginning,6,932
moral,6,933
speaking,6,934
fully,6,935
keeping,6,936
mankind,6,937
"myself,",6,938
strode,6,939
"afterwards,",6,940
passionate,6,941
damned,6,942
mind.,6,943
join,6,944
literally,6,945
"you.""",6,946
finds,6,947
symbol,6,948
lights,6,949
parade,6,950
scarcely,6,951
furious,6,952
"syme,""",6,953
vaguely,6,954
speak,6,955
'you,6,956
"snow,",6,957
hate,6,958
honour,6,959
effect,6,960
"""i'm",6,961
odd,6,962
monstrous,6,963
forehead.,6,964
reached,6,965
bewildering,6,966
carriages,6,967
light.,6,968
"""because",6,969
shown,6,970
false,6,971
surely,6,972
yards,6,973
universe,6,974
barrel-organ,6,975
"know,",6,976
received,6,977
sharp,6,978
simply,6,979
hotel,6,980
influence,6,981
exquisite,6,982
sight,6,983
become,6,984
getting,6,985
"here,",6,986
breakfast,6,987
nerves,6,988
"no,",6,989
special,6,990
"anarchy,",6,991
case,6,992
moving,6,993
crooked,6,994
tore,6,995
balloon,6,996
near,6,997
extraordinary,6,998
worth,6,999
appeared,6,1000
scientific,6,1001
shadow,6,1002
"suddenly,",6,1003
contrast,6,1004
itself.,6,1005
course,6,1006
learn,6,1007
difference,6,1008
beautiful,6,1009
fierce,6,1010
swept,6,1011
"say,""",6,1012
"what?""",6,1013
grass,6,1014
"?""",6,1015
opening,6,1016
"now,""",6,1017
rising,6,1018
"life,",6,1019
healthy,6,1020
saying,6,1021
finger,6,1022
prevent,6,1023
up.,6,1024
fiery,6,1025
"first,",6,1026
"anarchist,",6,1027
splendid,6,1028
"""in",6,1029
"oh,",6,1030
ready,6,1031
"shadow,",6,1032
"then?""",6,1033
criminal,6,1034
rank,6,1035
stopped,6,1036
crowd,6,1037
see.,6,1038
shook,5,1039
"humanity,",5,1040
laid,5,1041
intellect,5,1042
instinctively,5,1043
dream.,5,1044
died,5,1045
glasses,5,1046
colonel.,5,1047
death,5,1048
pocket,5,1049
startling,5,1050
flower,5,1051
bank,5,1052
river,5,1053
stones,5,1054
idiotic,5,1055
force,5,1056
"it?""",5,1057
"short,",5,1058
natural,5,1059
leaning,5,1060
personal,5,1061
marquis.,5,1062
"case,",5,1063
"garden,",5,1064
play,5,1065
snow,5,1066
actually,5,1067
irregular,5,1068
sit,5,1069
war,5,1070
moon,5,1071
shoulders,5,1072
startled,5,1073
crime.,5,1074
"laughter,",5,1075
"tree,",5,1076
straw,5,1077
working,5,1078
speech,5,1079
hair.,5,1080
"""with",5,1081
gravity,5,1082
"""then",5,1083
london.,5,1084
question.,5,1085
denied,5,1086
lost,5,1087
further,5,1088
waistcoat,5,1089
elected,5,1090
"nothing,",5,1091
singular,5,1092
devils,5,1093
"mad,",5,1094
post,5,1095
valour,5,1096
show,5,1097
balcony.,5,1098
steel,5,1099
"seat,",5,1100
driven,5,1101
revolt,5,1102
kindly,5,1103
occurred,5,1104
wonder,5,1105
"window,",5,1106
glory,5,1107
seat.,5,1108
was.,5,1109
dynamite,5,1110
flame,5,1111
"""does",5,1112
pride,5,1113
spoken,5,1114
"stick,",5,1115
bring,5,1116
weak,5,1117
"""all",5,1118
"that?""",5,1119
creation,5,1120
cafe,5,1121
meant,5,1122
"right,",5,1123
filled,5,1124
law,5,1125
risen,5,1126
moon.,5,1127
movements,5,1128
weary,5,1129
outer,5,1130
work,5,1131
tomorrow,5,1132
(if,5,1133
larger,5,1134
stars,5,1135
present,5,1136
evidently,5,1137
it!,5,1138
smell,5,1139
advice,5,1140
body,5,1141
"right,""",5,1142
"night,",5,1143
attempt,5,1144
shocking,5,1145
abrupt,5,1146
fall,5,1147
several,5,1148
"sir,",5,1149
"""your",5,1150
within,5,1151
"policy,",5,1152
revolver,5,1153
insulted,5,1154
"together,",5,1155
german,5,1156
bewildered,5,1157
following,5,1158
president's,5,1159
try,5,1160
days.,5,1161
arresting,5,1162
i've,5,1163
haven't,5,1164
burst,5,1165
figures,5,1166
hell.,5,1167
worse,5,1168
sent,5,1169
hat.,5,1170
begun,5,1171
crazy,5,1172
inquired,5,1173
"back,",5,1174
president.,5,1175
highly,5,1176
"""comrades,""",5,1177
sunlit,5,1178
"least,",5,1179
off.,5,1180
late,5,1181
hats,5,1182
slow,5,1183
unless,5,1184
"blue,",5,1185
on.,5,1186
know.,5,1187
"dark,",5,1188
strength,5,1189
"think,""",5,1190
colour,5,1191
nearly,5,1192
goes,5,1193
die,5,1194
shape,5,1195
girl,5,1196
vague,5,1197
peasant,5,1198
stranger,5,1199
thinking,5,1200
houses,5,1201
descended,5,1202
god!,5,1203
suggested,5,1204
crossed,5,1205
down.,5,1206
extreme,5,1207
reminded,5,1208
promised,5,1209
twisted,5,1210
away.,5,1211
drunk,5,1212
chairman,5,1213
"faces,",5,1214
difficulty,5,1215
flash,5,1216
flaming,5,1217
supposed,5,1218
pretty,5,1219
impulse,5,1220
place.,5,1221
him;,5,1222
"rate,",5,1223
swinging,5,1224
that.,5,1225
falling,5,1226
scream,5,1227
mass,5,1228
ring,5,1229
worms.,5,1230
everyone,5,1231
"gentleman,",5,1232
"sir,""",5,1233
miles,5,1234
control,5,1235
decent,5,1236
society,5,1237
"speak,",5,1238
disappeared,5,1239
bomb,5,1240
able,5,1241
"them.""",5,1242
"""who",5,1243
"time,",5,1244
accept,5,1245
easily,5,1246
attack,5,1247
bloody,5,1248
lamp,5,1249
regarded,5,1250
"it!""",5,1251
patch,5,1252
"friends,",5,1253
carriage,5,1254
cause,5,1255
wanted,5,1256
policeman.,5,1257
"suppose,",5,1258
worst,5,1259
fresh,5,1260
naked,5,1261
feet.,5,1262
trying,5,1263
"""stop",5,1264
word.,5,1265
"door,",5,1266
shoulder,5,1267
likely,5,1268
"things,",5,1269
expressed,5,1270
kill,5,1271
die.,5,1272
ball,5,1273
tale,5,1274
park.,5,1275
evil,5,1276
type,5,1277
fat,5,1278
flowers,5,1279
steadily,5,1280
bed,5,1281
around,5,1282
"society,",5,1283
considerable,5,1284
anarchy,5,1285
women,5,1286
deny,5,1287
laughter.,5,1288
doubts,5,1289
"figure,",5,1290
farther,5,1291
lighted,5,1292
sunset.,5,1293
"also,",5,1294
square.,5,1295
boat,5,1296
position,5,1297
fingers,5,1298
outrageous,5,1299
passage,5,1300
shouted,5,1301
morbid,5,1302
coffee,5,1303
fears,5,1304
cloud.,5,1305
address,5,1306
father,5,1307
boots,5,1308
day.,5,1309
surprised,5,1310
higher,4,1311
scotland,4,1312
upper,4,1313
calais,4,1314
said;,4,1315
"darkness,",4,1316
longer,4,1317
instinct,4,1318
atmosphere,4,1319
touched,4,1320
beaming,4,1321
naturally,4,1322
thought.,4,1323
children,4,1324
"grey,",4,1325
dirty,4,1326
"""did",4,1327
use,4,1328
