Word,Freq,Rank
the,3304,1
to,2746,2
and,2716,3
of,2528,4
a,1574,5
in,1353,6
was,1277,7
had,1164,8
she,1114,9
her,1012,10
i,986,11
be,919,12
he,915,13
not,891,14
that,829,15
it,813,16
as,804,17
for,674,18
his,648,19
with,620,20
but,612,21
have,580,22
at,529,23
you,487,24
been,484,25
all,475,26
could,434,27
very,425,28
they,424,29
were,416,30
by,410,31
which,394,32
is,374,33
on,370,34
would,341,35
so,323,36
anne,298,37
captain,297,38
no,296,39
their,292,40
from,289,41
mrs,289,42
or,270,43
him,267,44
mr,246,45
than,243,46
an,243,47
more,239,48
there,234,49
when,221,50
must,221,51
being,216,52
one,212,53
this,210,54
only,209,55
my,209,56
such,208,57
lady,200,58
any,196,59
if,193,60
much,190,61
what,184,62
should,181,63
who,178,64
little,166,65
might,160,66
do,158,67
them,153,68
will,150,69
never,149,70
good,145,71
we,143,72
own,141,73
said,137,74
sir,137,75
are,135,76
did,133,77
think,133,78
some,132,79
elliot,125,80
your,122,81
great,122,82
am,121,83
most,118,84
miss,118,85
nothing,115,86
"""i",114,87
how,113,88
see,113,89
though,111,90
quite,110,91
always,109,92
charles,107,93
without,106,94
soon,105,95
wentworth,104,96
other,103,97
every,101,98
"anne,",100,99
now,100,100
first,100,101
me,99,102
has,98,103
two,97,104
can,97,105
into,95,106
too,95,107
after,94,108
made,94,109
time,94,110
herself,92,111
seemed,91,112
having,87,113
make,86,114
well,86,115
may,86,116
about,85,117
out,85,118
know,84,119
"her,",82,120
before,82,121
thought,81,122
"him,",81,123
many,80,124
young,79,125
walter,78,126
"it,",77,127
felt,76,128
same,76,129
father,76,130
long,74,131
like,74,132
better,73,133
russell,73,134
its,72,135
up,71,136
found,71,137
those,71,138
even,71,139
ever,69,140
give,69,141
her.,68,142
"elliot,",68,143
last,68,144
mary,67,145
it.,66,146
go,65,147
still,65,148
while,65,149
upon,65,150
musgrove,65,151
just,63,152
man,63,153
louisa,62,154
"however,",62,155
our,60,156
him.,60,157
half,59,158
few,59,159
almost,59,160
came,59,161
rather,58,162
going,57,163
something,57,164
wish,56,165
come,56,166
between,55,167
house,55,168
knew,55,169
himself,54,170
enough,54,171
heard,54,172
"wentworth,",54,173
down,53,174
shall,53,175
feelings,53,176
over,53,177
another,52,178
back,52,179
elizabeth,52,180
again,51,181
seen,51,182
"you,",51,183
present,50,184
anne's,49,185
till,49,186
take,49,187
them.,48,188
done,48,189
kellynch,48,190
saw,48,191
say,47,192
these,47,193
hope,47,194
poor,46,195
years,46,196
left,45,197
admiral,45,198
"them,",45,199
"was,",45,200
friend,44,201
known,44,202
where,44,203
way,44,204
cried,44,205
bath,44,206
sure,44,207
happy,43,208
then,43,209
look,43,210
here,43,211
really,42,212
leave,42,213
cannot,42,214
under,42,215
old,41,216
yet,41,217
off,41,218
anything,41,219
henrietta,41,220
"again,",41,221
perfectly,40,222
hardly,40,223
feel,39,224
among,39,225
party,39,226
deal,39,227
home,39,228
near,39,229
each,39,230
away,39,231
"mary,",39,232
ought,39,233
family,38,234
day,38,235
nor,38,236
"herself,",38,237
everything,38,238
looked,38,239
does,38,240
believe,37,241
place,37,242
since,37,243
dear,37,244
"and,",37,245
part,36,246
sort,36,247
certainly,36,248
harville,36,249
whole,36,250
best,36,251
hear,35,252
next,35,253
elliot's,35,254
clay,35,255
seeing,35,256
get,35,257
benwick,34,258
uppercross,34,259
whom,34,260
gone,34,261
moment,34,262
three,34,263
mind,33,264
"time,",33,265
either,33,266
"charles,",33,267
both,33,268
"""oh!",32,269
"man,",32,270
visit,32,271
brought,32,272
received,32,273
glad,32,274
tell,32,275
towards,32,276
woman,31,277
once,31,278
her;,31,279
"say,",31,280
"musgrove,",31,281
whether,30,282
far,30,283
"russell,",30,284
sister,30,285
put,30,286
pleasure,30,287
set,30,288
interest,30,289
given,30,290
him;,30,291
able,30,292
course,30,293
"smith,",30,294
evening,30,295
began,30,296
camden,29,297
russell's,29,298
passed,29,299
least,29,300
called,29,301
"perhaps,",29,302
it;,29,303
coming,29,304
general,29,305
fine,29,306
acquaintance,29,307
people,29,308
gave,29,309
talked,29,310
"""you",28,311
thing,28,312
right,28,313
love,28,314
full,28,315
idea,28,316
former,28,317
obliged,28,318
strong,28,319
through,28,320
determined,28,321
room,28,322
"indeed,",28,323
want,28,324
"me,",27,325
looking,27,326
"place,",27,327
walked,27,328
manner,26,329
me.,26,330
state,26,331
"""but",26,332
"""and",26,333
against,26,334
"walter,",26,335
"home,",26,336
"all,",26,337
letter,26,338
you.,26,339
thinking,26,340
went,26,341
replied,26,342
wentworth's,26,343
heart,26,344
us,25,345
change,25,346
spirits,25,347
assure,25,348
eyes,25,349
again.,25,350
neither,25,351
"know,",25,352
wanted,25,353
agreeable,25,354
lyme,25,355
let,25,356
"now,",24,357
told,24,358
met,24,359
end,24,360
others,24,361
because,24,362
"he,",24,363
side,24,364
often,24,365
beginning,24,366
possible,24,367
name,24,368
worth,24,369
short,24,370
chapter,24,371
morning,24,372
"well,",24,373
character,24,374
new,24,375
"house,",24,376
elliot.,24,377
account,23,378
company,23,379
taken,23,380
considered,23,381
object,23,382
less,23,383
"too,",23,384
"louisa,",23,385
"bath,",23,386
wished,23,387
likely,23,388
hayter,23,389
taking,23,390
making,23,391
sensible,22,392
"there,",22,393
"family,",22,394
acquainted,22,395
use,22,396
return,22,397
immediately,22,398
"uppercross,",22,399
bad,22,400
understand,22,401
"sister,",22,402
real,22,403
talk,22,404
pretty,22,405
"together,",22,406
"morning,",22,407
spoke,22,408
"""it",22,409
walk,22,410
"mind,",21,411
feeling,21,412
"room,",21,413
got,21,414
turned,21,415
colonel,21,416
"friend,",21,417
excellent,21,418
marry,21,419
smith,21,420
musgroves,21,421
whose,21,422
croft,21,423
"acquaintance,",21,424
early,20,425
need,20,426
usual,20,427
meet,20,428
asked,20,429
different,20,430
spoken,20,431
appearance,20,432
"himself,",20,433
forward,20,434
help,20,435
"harville,",20,436
"no,",20,437
find,20,438
high,20,439
crofts,20,440
"said,",20,441
father's,20,442
manners,20,443
"life,",20,444
"short,",19,445
knowledge,19,446
giving,19,447
men,19,448
doing,19,449
bear,19,450
"""that",19,451
call,19,452
consequence,19,453
walking,19,454
"therefore,",19,455
speak,19,456
regard,19,457
"lyme,",19,458
point,19,459
themselves,19,460
person,19,461
mean,19,462
year,19,463
anne.,19,464
talking,19,465
"elizabeth,",19,466
longer,18,467
herself.,18,468
within,18,469
mother,18,470
living,18,471
used,18,472
degree,18,473
took,18,474
particularly,18,475
beyond,18,476
"away,",18,477
sight,18,478
advantage,18,479
finding,18,480
"be,",18,481
sorry,18,482
bath.,18,483
life,18,484
"henrietta,",18,485
happiness,18,486
attention,18,487
hours,17,488
"sure,",17,489
satisfied,17,490
walter's,17,491
wentworth.,17,492
reason,17,493
musgrove's,17,494
disposed,17,495
face,17,496
hour,17,497
dalrymple,17,498
"that,",17,499
head,17,500
worse,17,501
"""the",17,502
"other,",17,503
influence,17,504
away.,17,505
generally,17,506
surprise,17,507
friends,17,508
minutes,17,509
"but,",17,510
"woman,",17,511
equal,16,512
perfect,16,513
pleased,16,514
concert,16,515
days,16,516
"then,",16,517
doubt,16,518
shepherd,16,519
kept,16,520
ladies,16,521
means,16,522
small,16,523
"moment,",16,524
extremely,16,525
else,16,526
large,16,527
lived,16,528
value,16,529
nobody,16,530
sometimes,16,531
"which,",16,532
wife,16,533
things,16,534
suppose,16,535
anxious,16,536
mary's,16,537
second,16,538
"over,",16,539
answer,16,540
"so,",16,541
"""a",16,542
"musgroves,",16,543
conversation,16,544
rest,16,545
decided,16,546
word,16,547
smallest,15,548
nature,15,549
lost,15,550
"benwick,",15,551
believed,15,552
natural,15,553
"once,",15,554
sense,15,555
care,15,556
"others,",15,557
"had,",15,558
eye,15,559
understood,15,560
circumstance,15,561
meeting,15,562
"afterwards,",15,563
"""he",15,564
attending,15,565
meant,15,566
why,15,567
attachment,15,568
lyme.,15,569
ill,15,570
anybody,15,571
turn,15,572
perhaps,15,573
warm,15,574
"side,",15,575
nearly,15,576
taste,15,577
"on,",15,578
afterwards,15,579
"not,",15,580
"croft,",15,581
engagement,15,582
trying,15,583
"this,",15,584
wallis,15,585
delighted,15,586
women,15,587
"""yes,",15,588
drew,15,589
engaged,14,590
caught,14,591
matter,14,592
waiting,14,593
children,14,594
exactly,14,595
world,14,596
"she,",14,597
settled,14,598
saying,14,599
"admiral,",14,600
"""no,",14,601
imagine,14,602
aware,14,603
"of,",14,604
allowed,14,605
completely,14,606
seem,14,607
brother,14,608
sent,14,609
kind,14,610
handsome,14,611
sat,14,612
reached,14,613
knowing,14,614
getting,14,615
keep,14,616
"party,",14,617
air,14,618
"themselves,",14,619
