Word,Freq,Rank
the,4073,1
to,4050,2
of,3540,3
and,3283,4
her,2230,5
a,2035,6
in,1899,7
was,1784,8
i,1673,9
she,1504,10
it,1273,11
that,1239,12
be,1237,13
as,1195,14
for,1191,15
not,1188,16
his,1002,17
he,994,18
had,984,19
with,968,20
you,883,21
at,813,22
have,801,23
by,734,24
but,722,25
is,676,26
on,663,27
my,588,28
so,580,29
could,555,30
which,553,31
all,545,32
from,529,33
mrs.,521,34
would,506,35
they,499,36
their,496,37
very,491,38
no,483,39
him,432,40
been,426,41
were,424,42
what,393,43
any,385,44
every,374,45
this,362,46
than,359,47
your,358,48
more,357,49
elinor,349,50
such,347,51
or,343,52
said,342,53
an,340,54
will,336,55
them,304,56
when,285,57
only,283,58
must,279,59
one,262,60
me,261,61
if,260,62
much,258,63
marianne,253,64
do,246,65
who,238,66
should,233,67
"""i",229,68
am,229,69
own,227,70
are,219,71
some,209,72
might,209,73
though,206,74
miss,206,75
has,202,76
did,202,77
"elinor,",199,78
after,199,79
can,190,80
how,189,81
think,189,82
we,188,83
never,184,84
know,172,85
without,170,86
there,169,87
now,169,88
mr.,168,89
may,167,90
"marianne,",165,91
soon,163,92
being,163,93
see,159,94
time,155,95
most,154,96
nothing,154,97
"her,",153,98
before,149,99
thing,142,100
first,141,101
"it,",141,102
colonel,141,103
great,139,104
too,138,105
about,136,106
make,136,107
little,136,108
out,135,109
edward,134,110
its,133,111
made,133,112
two,131,113
other,129,114
ever,129,115
it.,126,116
herself,126,117
good,123,118
dashwood,123,119
lady,122,120
always,121,121
well,121,122
give,120,123
shall,119,124
even,117,125
mother,114,126
into,113,127
sir,112,128
say,111,129
then,110,130
jennings,108,131
sister,107,132
john,105,133
"however,",103,134
thought,100,135
sure,100,136
saw,98,137
left,97,138
young,97,139
while,96,140
still,96,141
"him,",96,142
many,95,143
felt,92,144
quite,91,145
up,91,146
seemed,90,147
"you,",88,148
willoughby,88,149
less,87,150
lucy,87,151
same,87,152
upon,85,153
go,85,154
cannot,84,155
over,84,156
came,84,157
enough,83,158
long,83,159
till,83,160
almost,82,161
really,81,162
last,81,163
tell,81,164
nor,80,165
day,79,166
"herself,",79,167
few,78,168
heart,78,169
"""you",76,170
where,76,171
"jennings,",74,172
"them,",73,173
like,73,174
away,72,175
"me,",72,176
heard,71,177
come,70,178
her.,70,179
rather,70,180
dear,70,181
our,70,182
cried,70,183
gave,70,184
house,69,185
brandon,69,186
man,68,187
mind,68,188
between,68,189
again,67,190
kind,65,191
found,65,192
far,65,193
yet,65,194
against,65,195
just,65,196
towards,65,197
middleton,64,198
hardly,64,199
both,64,200
told,63,201
"dashwood,",62,202
something,62,203
"""and",62,204
down,62,205
"willoughby,",61,206
looked,61,207
whom,61,208
replied,61,209
hope,61,210
marianne's,61,211
wish,61,212
hear,60,213
happy,60,214
better,60,215
these,59,216
moment,59,217
"sister,",59,218
knew,59,219
whole,59,220
therefore,58,221
within,58,222
affection,58,223
ferrars,58,224
us,57,225
present,57,226
look,57,227
believe,57,228
elinor's,57,229
since,56,230
immediately,56,231
three,56,232
because,56,233
"lucy,",56,234
once,56,235
feel,55,236
least,55,237
brought,55,238
them.,55,239
myself,55,240
each,54,241
letter,54,242
having,54,243
find,54,244
"time,",54,245
him.,53,246
poor,53,247
leave,53,248
half,53,249
"mother,",52,250
seen,52,251
"""but",52,252
going,51,253
under,51,254
took,51,255
wished,51,256
"and,",51,257
chapter,50,258
love,50,259
another,50,260
does,50,261
morning,50,262
feelings,49,263
certainly,49,264
himself,49,265
next,49,266
pleasure,49,267
done,49,268
reason,48,269
"""that",48,270
sister's,48,271
whose,48,272
barton,47,273
behaviour,47,274
"""it",47,275
often,47,276
general,47,277
person,46,278
end,46,279
family,46,280
"all,",46,281
thousand,46,282
perhaps,46,283
given,46,284
way,45,285
those,45,286
"house,",45,287
eyes,45,288
place,45,289
beyond,45,290
able,45,291
mother's,44,292
visit,44,293
"he,",44,294
comfort,44,295
known,44,296
went,44,297
glad,43,298
returned,43,299
take,43,300
"edward,",43,301
put,43,302
neither,43,303
speak,43,304
perfectly,42,305
woman,42,306
opinion,41,307
determined,41,308
palmer,40,309
edward's,40,310
obliged,40,311
room,40,312
whether,40,313
world,40,314
equally,40,315
however,40,316
happiness,40,317
off,40,318
seeing,40,319
acquaintance,39,320
want,39,321
body,39,322
particular,39,323
people,39,324
"she,",38,325
regard,38,326
subject,38,327
called,38,328
it;,38,329
"was,",38,330
short,38,331
interest,37,332
sat,37,333
received,37,334
whatever,37,335
"this,",37,336
rest,37,337
"himself,",37,338
here,36,339
old,36,340
giving,36,341
continued,36,342
dare,36,343
"that,",36,344
through,36,345
"day,",36,346
already,35,347
spite,35,348
"therefore,",35,349
ought,35,350
"now,",35,351
spent,35,352
"say,",35,353
spirits,35,354
situation,35,355
farther,35,356
real,35,357
"again,",35,358
entered,35,359
part,34,360
brother,34,361
suppose,34,362
talk,34,363
"said,",34,364
attention,34,365
power,34,366
"know,",34,367
greater,33,368
entirely,33,369
"well,",33,370
passed,33,371
means,33,372
longer,32,373
manner,32,374
set,32,375
four,32,376
"which,",32,377
sorry,32,378
coming,32,379
assure,32,380
town,32,381
kindness,32,382
live,32,383
willoughby's,32,384
hours,31,385
doubt,31,386
object,31,387
particularly,31,388
years,31,389
possible,31,390
deal,31,391
engagement,31,392
matter,31,393
"room,",31,394
call,31,395
"indeed,",31,396
why,31,397
talked,31,398
her;,31,399
"brandon,",30,400
sister.,30,401
name,30,402
ask,30,403
account,30,404
evening,30,405
ready,30,406
marianne.,30,407
keep,30,408
"replied,",30,409
sisters,30,410
get,30,411
new,30,412
began,30,413
me.,29,414
side,29,415
anxious,29,416
voice,29,417
"town,",29,418
jennings's,29,419
either,29,420
"too,",29,421
all.,29,422
together,29,423
near,29,424
minutes,29,425
kept,29,426
days,28,427
full,28,428
you.,28,429
instantly,28,430
easily,28,431
norland,28,432
engaged,28,433
herself.,28,434
friend,28,435
five,28,436
others,28,437
greatest,28,438
walked,28,439
settled,28,440
pleased,27,441
"""no,",27,442
business,27,443
manners,27,444
"man,",27,445
wonder,27,446
"""he",27,447
return,27,448
fanny,27,449
let,27,450
knowledge,26,451
"""how",26,452
"john,",26,453
party,26,454
surprise,26,455
got,26,456
"there,",26,457
marriage,26,458
elinor.,26,459
turned,26,460
"heart,",26,461
"but,",26,462
different,26,463
remained,26,464
"other,",26,465
back,26,466
ladies,26,467
assured,26,468
friends,26,469
likely,26,470
resolved,26,471
open,25,472
stay,25,473
home,25,474
cottage,25,475
exactly,25,476
conduct,25,477
common,25,478
taken,25,479
hearing,25,480
"it.""",25,481
lucy's,25,482
directly,25,483
taking,24,484
change,24,485
"barton,",24,486
"street,",24,487
convinced,24,488
"one,",24,489
sometimes,24,490
appeared,24,491
"""we",24,492
mean,24,493
wanted,24,494
"ferrars,",24,495
else,24,496
repeated,24,497
satisfaction,24,498
opportunity,24,499
believed,24,500
"home,",24,501
acquainted,24,502
appearance,24,503
"so,",24,504
scarcely,24,505
former,24,506
understand,24,507
pretty,24,508
"believe,",24,509
word,24,510
state,23,511
natural,23,512
point,23,513
"is,",23,514
ten,23,515
round,23,516
"friends,",23,517
married,23,518
brandon's,23,519
suffered,23,520
doing,23,521
comfortable,23,522
declared,23,523
allow,23,524
fear,23,525
expected,23,526
invitation,23,527
happened,23,528
seems,23,529
marry,23,530
expect,23,531
appear,23,532
forced,23,533
considered,22,534
"myself,",22,535
"brother,",22,536
hour,22,537
small,22,538
park,22,539
best,22,540
week,22,541
"own,",22,542
yourself,22,543
countenance,22,544
"family,",22,545
attachment,22,546
fancy,22,547
"together,",22,548
certain,22,549
"park,",22,550
merely,22,551
"place,",22,552
husband,22,553
"be,",22,554
saying,22,555
prevent,22,556
exceedingly,22,557
proper,22,558
dashwoods,22,559
immediate,22,560
making,22,561
"""if",21,562
children,21,563
met,21,564
living,21,565
"then,",21,566
sense,21,567
"spirits,",21,568
you;,21,569
use,21,570
formed,21,571
supposed,21,572
produced,21,573
"""oh,",21,574
carriage,21,575
spoke,21,576
usual,21,577
"morning,",21,578
sake,21,579
"mind,",21,580
asked,21,581
"added,",21,582
expectation,21,583
"side,",21,584
reached,21,585
tried,21,586
fine,21,587
"cottage,",21,588
necessary,21,589
curiosity,21,590
course,21,591
leaving,21,592
"""to",21,593
"""yes,",21,594
talking,21,595
don't,20,596
care,20,597
answered,20,598
pounds,20,599
seem,20,600
probably,20,601
"away,",20,602
confidence,20,603
robert,20,604
knowing,20,605
room.,20,606
strong,20,607
silent,20,608
"before,",20,609
low,20,610
fixed,20,611
answer,20,612
bear,20,613
favourite,20,614
wife,20,615
serious,20,616
constant,20,617
surprised,20,618
equal,20,619
smallest,20,620
fond,20,621
"""what",20,622
painful,20,623
judgment,20,624
"""my",20,625
among,20,626
promise,20,627
large,20,628
"""your",20,629
dashwood's,20,630
sent,20,631
anything,20,632
"who,",20,633
looking,20,634
"you.""",20,635
conversation,20,636
pain,20,637
misery,19,638
meet,19,639
sitting,19,640
meeting,19,641
"subject,",19,642
wishes,19,643
elinor;,19,644
"""well,",19,645
mother.,19,646
agreeable,19,647
worth,19,648
house.,19,649
early,19,650
more.,19,651
fortune,19,652
late,19,653
afraid,19,654
money,19,655
eager,19,656
months,19,657
added,19,658
life,19,659
hundred,19,660
impossible,19,661
"""she",18,662
unable,18,663
gentleman,18,664
attended,18,665
"dear,",18,666
arrival,18,667
avoid,18,668
idea,18,669
"""do",18,670
"engagement,",18,671
above,18,672
afterwards,18,673
"not,",18,674
staying,18,675
second,18,676
notice,18,677
character,18,678
eldest,18,679
satisfied,18,680
unfortunate,18,681
used,18,682
resolution,18,683
"perhaps,",18,684
consider,18,685
"voice,",18,686
girl,18,687
"world,",18,688
"""is",18,689
become,18,690
"others,",18,691
before.,18,692
"life,",18,693
feeling,17,694
"short,",17,695
son,17,696
affectionate,17,697
share,17,698
"thing,",17,699
allowed,17,700
chance,17,701
effect,17,702
hand,17,703
thus,17,704
advantage,17,705
indeed,17,706
do.,17,707
desire,17,708
led,17,709
need,17,710
"do,",17,711
delighted,17,712
bring,17,713
joined,17,714
melancholy,17,715
berkeley,17,716
"another,",17,717
"did,",17,718
circumstances,17,719
day.,17,720
danger,17,721
"him.""",17,722
capable,17,723
favour,17,724
"more,",16,725
harley,16,726
help,16,727
head,16,728
right,16,729
"""oh!",16,730
circumstance,16,731
time.,16,732
company,16,733
again.,16,734
me;,16,735
carried,16,736
"manner,",16,737
thoughts,16,738
read,16,739
"ever,",16,740
"letter,",16,741
lost,16,742
style,16,743
persuaded,16,744
that.,16,745
"hand,",16,746
cold,16,747
earnest,16,748
meant,16,749
except,16,750
latter,16,751
otherwise,16,752
margaret,16,753
became,16,754
necessity,16,755
attempt,16,756
"kind,",16,757
silence,16,758
nobody,16,759
night,16,760
"continued,",16,761
future,16,762
disappointment,16,763
view,16,764
"feelings,",16,765
"present,",16,766
speaking,15,767
receive,15,768
"for,",15,769
anxiety,15,770
ferrars's,15,771
world.,15,772
during,15,773
past,15,774
conviction,15,775
aware,15,776
delight,15,777
affair,15,778
lived,15,779
themselves,15,780
"happy,",15,781
gone,15,782
turn,15,783
mentioned,15,784
"middleton,",15,785
respect,15,786
walk,15,787
"much,",15,788
letters,15,789
admiration,15,790
"way,",15,791
"child,",15,792
door,15,793
engage,15,794
himself.,15,795
loss,15,796
disposition,15,797
steele,15,798
"hope,",15,799
daughter,15,800
"you,""",15,801
"palmer,",15,802
simple,15,803
"""for",15,804
difficulty,15,805
"opinion,",15,806
difference,15,807
whenever,15,808
several,15,809
unwilling,15,810
quitted,15,811
nature,14,812
followed,14,813
joy,14,814
temper,14,815
wishing,14,816
"me,""",14,817
combe,14,818
mention,14,819
"yes,",14,820
tears,14,821
frequently,14,822
highly,14,823
"love,",14,824
especially,14,825
question,14,826
quiet,14,827
truth,14,828
"ma'am,",14,829
enjoyment,14,830
breakfast,14,831
edward.,14,832
