Word,Freq,Rank
the,9991,1
and,5276,2
of,4240,3
i,2778,4
to,2132,5
in,1838,6
a,1249,7
with,1237,8
you,1176,9
is,1074,10
my,1000,11
or,996,12
for,928,13
all,819,14
that,817,15
as,788,16
not,780,17
from,698,18
it,641,19
on,597,20
are,566,21
me,555,22
o,547,23
by,475,24
at,468,25
be,457,26
what,452,27
they,442,28
but,403,29
},381,30
his,373,31
see,370,32
your,360,33
their,358,34
have,346,35
we,309,36
"me,",292,37
one,291,38
he,288,39
this,280,40
these,275,41
will,260,42
through,259,43
shall,258,44
nor,256,45
no,254,46
now,247,47
out,245,48
do,241,49
its,237,50
old,228,51
so,227,52
them,224,53
am,224,54
than,220,55
thy,220,56
where,217,57
"you,",215,58
how,212,59
yet,212,60
there,207,61
who,206,62
more,203,63
was,186,64
any,183,65
every,180,66
those,179,67
thou,168,68
her,167,69
over,164,70
some,160,71
"all,",156,72
here,154,73
know,154,74
has,153,75
long,151,76
upon,149,77
up,148,78
"them,",146,79
great,145,80
life,142,81
man,141,82
an,134,83
many,132,84
ever,131,85
each,130,86
if,128,87
never,125,88
after,125,89
him,124,90
when,123,91
come,123,92
hear,121,93
then,120,94
love,120,95
men,119,96
day,116,97
only,116,98
own,114,99
like,113,100
give,113,101
thee,109,102
she,107,103
young,105,104
myself,104,105
our,103,106
earth,101,107
think,100,108
night,99,109
were,97,110
"earth,",96,111
soul,95,112
"thee,",91,113
again,91,114
"love,",91,115
time,91,116
too,90,117
can,90,118
would,89,119
little,89,120
face,88,121
while,88,122
down,88,123
good,85,124
new,85,125
look,84,126
body,84,127
before,84,128
"soul,",83,129
which,82,130
toward,82,131
go,82,132
me.,80,133
"night,",80,134
under,80,135
other,79,136
far,79,137
well,78,138
may,78,139
make,77,140
saw,77,141
till,74,142
hand,73,143
last,72,144
just,72,145
let,72,146
around,72,147
others,71,148
pass,71,149
"life,",71,150
nothing,70,151
take,70,152
"it,",70,153
"death,",70,154
much,68,155
without,68,156
song,68,157
back,68,158
must,67,159
strong,67,160
"world,",67,161
sing,66,162
full,64,163
same,64,164
perfect,63,165
sea,62,166
land,62,167
thought,62,168
such,62,169
dead,62,170
women,61,171
white,61,172
always,61,173
forth,61,174
years,60,175
"sea,",60,176
two,59,177
us,59,178
city,59,179
beautiful,59,180
voice,57,181
does,57,182
along,57,183
"myself,",57,184
stand,57,185
"here,",57,186
something,56,187
been,56,188
eyes,55,189
"not,",55,190
death,55,191
high,55,192
say,54,193
divine,54,194
sweet,54,195
pioneers!,54,196
cannot,53,197
most,53,198
you.,53,199
still,53,200
world,53,201
sun,53,202
close,52,203
"him,",52,204
mother,52,205
"long,",52,206
light,51,207
woman,51,208
dear,51,209
even,51,210
amid,51,211
could,50,212
heard,50,213
away,50,214
singing,50,215
"on,",50,216
"time,",49,217
off,49,218
"rest,",49,219
word,49,220
part,48,221
open,48,222
first,48,223
"day,",48,224
place,47,225
"air,",47,226
within,47,227
none,47,228
head,46,229
side,46,230
words,46,231
air,46,232
whole,46,233
tell,46,234
past,45,235
work,45,236
"see,",45,237
had,45,238
comes,44,239
to-day,44,240
"man,",44,241
among,44,242
ship,44,243
rest,44,244
once,44,245
"again,",43,246
should,43,247
things,43,248
war,42,249
leaves,42,250
states,42,251
silent,42,252
red,42,253
thing,42,254
"men,",42,255
call,42,256
"old,",42,257
alone,41,258
really,41,259
fields,41,260
rise,41,261
best,41,262
whoever,41,263
vast,41,264
them.,41,265
walk,41,266
"only,",41,267
beyond,41,268
why,41,269
thousand,41,270
clear,41,271
"eyes,",41,272
"i,",40,273
round,40,274
soon,40,275
"hand,",40,276
sound,40,277
real,40,278
wild,40,279
lands,40,280
very,39,281
hands,39,282
behold,39,283
days,38,284
living,38,285
"there,",38,286
chant,38,287
welcome,38,288
present,37,289
poems,37,290
leave,37,291
true,37,292
another,37,293
large,37,294
passing,37,295
2,37,296
into,37,297
songs,37,298
house,36,299
1,36,300
"alone,",36,301
joy,35,302
free,35,303
western,35,304
whatever,35,305
spirit,35,306
else,35,307
become,35,308
near,35,309
children,34,310
"lands,",34,311
"states,",34,312
"woods,",34,313
show,34,314
[book,34,315
"are,",34,316
black,33,317
"itself,",33,318
"face,",33,319
themselves,33,320
cities,33,321
stars,33,322
hold,33,323
faces,33,324
sit,33,325
mighty,33,326
"body,",33,327
mine,33,328
"sun,",33,329
against,33,330
about,32,331
"land,",32,332
hour,32,333
"waves,",32,334
"more,",32,335
dark,32,336
"words,",32,337
indeed,32,338
itself,32,339
"songs,",32,340
ships,32,341
(the,32,342
"war,",31,343
(i,31,344
way,31,345
"us,",31,346
also,31,347
feel,31,348
"lo,",31,349
put,31,350
"america,",31,351
believe,31,352
curious,31,353
you!,31,354
"now,",31,355
ye,30,356
few,30,357
"come,",30,358
3,30,359
broad,30,360
"one,",30,361
child,30,362
forever,30,363
shape,30,364
"years,",30,365
yourself,29,366
countless,29,367
"light,",29,368
touch,29,369
"sky,",29,370
"voice,",29,371
"poems,",29,372
henceforth,29,373
sight,29,374
"women,",29,375
strange,29,376
left,28,377
me!,28,378
man's,28,379
less,28,380
moment,28,381
ocean,28,382
waves,28,383
behind,28,384
above,28,385
peace,28,386
turn,28,387
grass,28,388
waters,28,389
bring,28,390
find,28,391
immortal,28,392
"north,",27,393
lips,27,394
came,27,395
low,27,396
pass'd,27,397
o'er,27,398
"these,",27,399
need,27,400
race,27,401
"last,",27,402
done,27,403
sleep,27,404
did,27,405
goes,27,406
keep,27,407
year,27,408
whose,27,409
surely,26,410
"stars,",26,411
america,26,412
holding,26,413
"cities,",26,414
name,26,415
"go,",26,416
"south,",26,417
blood,26,418
"space,",26,419
north,26,420
(for,26,421
"children,",26,422
stands,26,423
unseen,26,424
fresh,26,425
"blood,",26,426
duly,26,427
"shore,",26,428
heart,26,429
god,26,430
whom,25,431
human,25,432
son,25,433
right,25,434
fill,25,435
you?,25,436
"god,",25,437
me?,25,438
water,25,439
arms,25,440
music,25,441
endless,25,442
return,25,443
"past,",25,444
home,25,445
moon,25,446
gray,25,447
"dead,",25,448
often,25,449
fall,25,450
west,25,451
might,25,452
ground,25,453
sounds,24,454
"good,",24,455
4,24,456
shore,24,457
summer,24,458
streets,24,459
"head,",24,460
sail,24,461
"mother,",24,462
rising,24,463
lost,24,464
himself,24,465
early,24,466
"west,",24,467
"nothing,",24,468
law,24,469
"trees,",24,470
speak,24,471
huge,24,472
looking,24,473
swear,24,474
waiting,23,475
distant,23,476
death.,23,477
play,23,478
lay,23,479
spread,23,480
trees,23,481
waits,23,482
joys,23,483
rich,23,484
woods,23,485
steady,23,486
served,23,487
"things,",23,488
delicate,23,489
"yet,",23,490
holds,23,491
space,23,492
"up,",23,493
thee.,23,494
common,23,495
"song,",23,496
shapes,23,497
greater,23,498
"well,",23,499
"same,",23,500
fill'd,22,501
"farms,",22,502
falling,22,503
calm,22,504
soul.,22,505
small,22,506
though,22,507
swiftly,22,508
loved,22,509
breast,22,510
certain,22,511
single,22,512
walks,22,513
unknown,22,514
look'd,22,515
winds,22,516
"silent,",22,517
feet,22,518
deep,22,519
between,22,520
voices,22,521
perhaps,22,522
"peace,",22,523
"nature,",22,524
understand,22,525
wait,22,526
"water,",22,527
"woman,",22,528
"mine,",22,529
person,21,530
"far,",21,531
shores,21,532
stood,21,533
silently,21,534
clouds,21,535
south,21,536
modern,21,537
poet,21,538
age,21,539
three,21,540
ages,21,541
all.,21,542
"thou,",21,543
hair,21,544
made,21,545
"city,",21,546
march,21,547
nature,20,548
going,20,549
solemn,20,550
times,20,551
enough,20,552
coming,20,553
"work,",20,554
bear,20,555
soldiers,20,556
equal,20,557
meet,20,558
use,20,559
teeming,20,560
"heart,",20,561
"also,",20,562
breath,20,563
"politics,",20,564
together,20,565
lie,20,566
proud,20,567
fierce,20,568
"enough,",19,569
"for,",19,570
river,19,571
sailing,19,572
mountains,19,573
east,19,574
public,19,575
ancient,19,576
"away,",19,577
wind,19,578
ah,19,579
"days,",19,580
seen,19,581
crowd,19,582
(as,19,583
friend,19,584
"in,",19,585
"down,",19,586
"beauty,",19,587
better,19,588
5,19,589
haply,19,590
loving,19,591
"persons,",19,592
power,19,593
"together,",19,594
"done,",19,595
hundred,19,596
houses,19,597
"sing,",19,598
"ground,",19,599
future,19,600
"themselves,",19,601
walking,19,602
"out,",19,603
"ships,",19,604
forward,18,605
known,18,606
doubt,18,607
"forth,",18,608
flowing,18,609
solid,18,610
"over,",18,611
beneath,18,612
6,18,613
"joy,",18,614
"is,",18,615
measureless,18,616
loud,18,617
mystic,18,618
found,18,619
"hands,",18,620
(o,18,621
"streets,",18,622
whether,18,623
"child,",18,624
"grass,",18,625
female,18,626
lies,18,627
sky,18,628
returning,18,629
flag,18,630
"friend,",18,631
neither,18,632
remain,18,633
brought,18,634
green,18,635
"that,",18,636
thoughts,18,637
general,18,638
neck,18,639
winter,18,640
flesh,18,641
having,18,642
said,18,643
sure,18,644
half,18,645
shows,18,646
swift,18,647
"lovers,",17,648
ceaseless,17,649
star,17,650
morning,17,651
"future,",17,652
manly,17,653
moving,17,654
"other,",17,655
blue,17,656
announce,17,657
eternal,17,658
father,17,659
forget,17,660
latent,17,661
beach,17,662
below,17,663
"home,",17,664
press,17,665
separate,17,666
ample,17,667
born,17,668
"present,",17,669
seek,17,670
"people,",17,671
"close,",17,672
"any,",17,673
people,17,674
"be,",17,675
form,17,676
passage,17,677
making,17,678
held,16,679
"shores,",16,680
natural,16,681
"fields,",16,682
joy!,16,683
set,16,684
onward,16,685
globe,16,686
hence,16,687
"race,",16,688
sad,16,689
bright,16,690
lightly,16,691
"side,",16,692
beauty,16,693
cool,16,694
rivers,16,695
across,16,696
"age,",16,697
knew,16,698
gave,16,699
it.,16,700
matter,16,701
heroes,16,702
"thought,",16,703
"sleep,",16,704
hot,16,705
mind,16,706
friendly,16,707
arm,16,708
brown,16,709
manhattan,16,710
learn'd,16,711
fully,16,712
except,16,713
mark,16,714
follow,16,715
slow,16,716
earth.,16,717
chants,16,718
cut,16,719
stop,16,720
"river,",16,721
leaving,16,722
appear,16,723
poets,16,724
hills,16,725
live,16,726
limbs,16,727
"waters,",16,728
myriads,16,729
mother's,15,730
already,15,731
love.,15,732
grow,15,733
advance,15,734
aside,15,735
lovers,15,736
pride,15,737
boy,15,738
"near,",15,739
rude,15,740
moves,15,741
precious,15,742
persons,15,743
again.,15,744
"feet,",15,745
gather,15,746
northern,15,747
"animals,",15,748
"mountains,",15,749
bloody,15,750
"friends,",15,751
room,15,752
pensive,15,753
"her,",15,754
"heroes,",15,755
"forms,",15,756
youth,15,757
beat,15,758
evil,15,759
spiritual,15,760
yellow,15,761
varied,15,762
8,15,763
"return,",15,764
late,15,765
cold,15,766
wherever,15,767
roll,15,768
shining,15,769
road,15,770
"know,",15,771
banner,15,772
"faith,",15,773
remember,15,774
looks,15,775
gives,15,776
"faces,",15,777
7,15,778
fit,15,779
ones,15,780
"rivers,",15,781
"wars,",15,782
strike,15,783
"sake,",15,784
"universe,",15,785
earth's,14,786
eastern,14,787
call'd,14,788
i'd,14,789
walk'd,14,790
heaven,14,791
"thoughts,",14,792
draw,14,793
delicious,14,794
lover,14,795
fair,14,796
may-be,14,797
"house,",14,798
seeking,14,799
brave,14,800
wounded,14,801
pale,14,802
hast,14,803
"laws,",14,804
float,14,805
"strong,",14,806
phantom,14,807
"dark,",14,808
poor,14,809
"neck,",14,810
forests,14,811
"own,",14,812
square,14,813
knows,14,814
answer,14,815
ready,14,816
taking,14,817
happy,14,818
"darkness,",14,819
savage,14,820
foot,14,821
lead,14,822
soft,14,823
equally,14,824
laws,14,825
"himself,",14,826
"best,",14,827
spreading,14,828
smoke,14,829
"content,",14,830
carrying,14,831
"calm,",14,832
comrade,14,833
"place,",14,834
sing.,14,835
tender,14,836
"name,",14,837
longer,13,838
receive,13,839
borne,13,840
memories,13,841
odor,13,842
finally,13,843
spring,13,844
"arms,",13,845
"form,",13,846
master,13,847
"freedom,",13,848
object,13,849
growth,13,850
because,13,851
"joys,",13,852
brain,13,853
inland,13,854
parts,13,855
"beautiful,",13,856
"battle,",13,857
seas,13,858
"nations,",13,859
"health,",13,860
sails,13,861
love!,13,862
fallen,13,863
fire,13,864
peaceful,13,865
procession,13,866
transparent,13,867
comrades,13,868
solitary,13,869
slowly,13,870
gone,13,871
crossing,13,872
soil,13,873
"clouds,",13,874
dream'd,13,875
faith,13,876
"wife,",13,877
"crowd,",13,878
breathe,13,879
watch,13,880
enter,13,881
grave,13,882
"gone,",13,883
"way,",13,884
unfolded,13,885
mere,13,886
nations,13,887
"soldiers,",13,888
underneath,13,889
read,13,890
bodies,13,891
male,13,892
perceive,13,893
limitless,13,894
carefully,13,895
provided,13,896
thick,13,897
greatest,13,898
vigil,13,899
bending,13,900
pleas'd,13,901
drawn,13,902
"chant,",13,903
bearing,13,904
went,13,905
"ranks,",13,906
"others,",13,907
art,13,908
thine,13,909
blow,13,910
rapt,13,911
midnight,13,912
terrible,13,913
naked,13,914
forms,13,915
"seas,",13,916
growing,13,917
sacred,13,918
lesson,13,919
"moon,",13,920
eidolons.,13,921
souls,12,922
deeds,12,923
grand,12,924
"yourself,",12,925
firm,12,926
"lips,",12,927
cover'd,12,928
american,12,929
myself.,12,930
send,12,931
songs.,12,932
"advancing,",12,933
brother,12,934
stately,12,935
lift,12,936
idea,12,937
mean,12,938
"globe,",12,939
"back,",12,940
"arm,",12,941
universe,12,942
wandering,12,943
"everywhere,",12,944
immense,12,945
electric,12,946
talk,12,947
"identity,",12,948
bird,12,949
lives,12,950
drop,12,951
lean,12,952
"breast,",12,953
wafted,12,954
floating,12,955
golden,12,956
dim,12,957
centuries,12,958
"hear,",12,959
bed,12,960
salute,12,961
wife,12,962
"power,",12,963
continually,12,964
objects,12,965
wondrous,12,966
travel,12,967
door,12,968
"prairies,",12,969
"still,",12,970
bay,12,971
prove,12,972
passionate,12,973
"leaves,",12,974
dying,12,975
"storm,",12,976
rose,12,977
birth,12,978
"to-day,",12,979
fear,12,980
"free,",12,981
giving,12,982
sick,12,983
"behold,",12,984
