Word,Freq,Rank
and,3271,1
the,2956,2
to,2217,3
of,2044,4
in,1361,5
his,1163,6
with,1153,7
or,690,8
from,684,9
that,681,10
all,647,11
their,591,12
i,562,13
as,557,14
but,549,15
a,541,16
not,535,17
by,512,18
on,507,19
he,500,20
for,432,21
so,423,22
thy,412,23
this,411,24
thou,396,25
what,383,26
they,356,27
be,323,28
her,314,29
thus,297,30
now,292,31
him,287,32
which,287,33
shall,282,34
our,275,35
at,269,36
who,268,37
my,257,38
thee,231,39
more,217,40
is,212,41
when,212,42
though,211,43
yet,209,44
nor,202,45
whom,197,46
no,193,47
was,185,48
me,185,49
we,182,50
had,181,51
heaven,177,52
them,177,53
where,168,54
if,167,55
then,166,56
god,166,57
will,158,58
such,156,59
how,149,60
have,145,61
than,144,62
through,142,63
these,140,64
first,140,65
us,138,66
can,127,67
one,126,68
it,123,69
great,122,70
may,121,71
while,119,72
high,118,73
hath,112,74
"and,",111,75
each,109,76
far,107,77
into,107,78
whose,107,79
"heaven,",106,80
other,106,81
till,104,82
like,100,83
earth,99,84
those,97,85
there,97,86
"thee,",93,87
here,93,88
both,93,89
she,92,90
might,92,91
up,90,92
some,88,93
man,87,94
were,86,95
let,85,96
ye,81,97
under,79,98
soon,78,99
less,77,100
still,77,101
"earth,",76,102
much,75,103
stood,74,104
down,74,105
must,73,106
day,72,107
fair,72,108
o,72,109
things,72,110
new,72,111
th',71,112
death,71,113
before,69,114
out,69,115
long,69,116
only,69,117
"me,",68,118
without,68,119
forth,68,120
own,66,121
are,66,122
could,66,123
should,65,124
made,65,125
against,65,126
good,64,127
over,63,128
well,63,129
among,63,130
place,62,131
hast,61,132
find,61,133
many,60,134
found,60,135
hand,59,136
hell,58,137
since,57,138
would,57,139
love,57,140
once,57,141
"god,",56,142
"not,",55,143
power,55,144
know,54,145
heaven's,53,146
"then,",53,147
your,53,148
light,51,149
above,51,150
none,51,151
adam,50,152
within,50,153
part,49,154
thence,49,155
"man,",49,156
oft,49,157
left,48,158
ere,48,159
after,48,160
joy,46,161
happy,46,162
son,45,163
heavenly,45,164
round,45,165
night,45,166
"him,",45,167
glory,44,168
saw,44,169
came,44,170
evil,44,171
world,44,172
way,43,173
"he,",43,174
eve,43,175
two,42,176
most,42,177
deep,42,178
wide,42,179
bright,41,180
last,41,181
spirits,41,182
sight,41,183
men,40,184
replied.,40,185
right,40,186
end,40,187
see,40,188
eternal,40,189
perhaps,40,190
"air,",39,191
best,39,192
air,39,193
full,38,194
"adam,",38,195
seemed,38,196
never,38,197
words,38,198
nature,37,199
side,37,200
dark,37,201
too,37,202
satan,36,203
behold,36,204
mean,36,205
fear,36,206
life,36,207
just,36,208
"eve,",36,209
tree,36,210
sweet,36,211
whence,36,212
art,36,213
work,35,214
thoughts,35,215
"world,",35,216
seat,35,217
about,34,218
o'er,34,219
also,34,220
hope,34,221
human,33,222
head,33,223
spirit,33,224
"but,",33,225
beyond,33,226
else,33,227
heart,33,228
"them,",32,229
ever,32,230
sun,32,231
sin,32,232
fruit,32,233
eyes,32,234
been,32,235
bring,32,236
"us,",32,237
ground,32,238
heard,32,239
every,32,240
"night,",31,241
heaven;,31,242
golden,31,243
mind,31,244
thought,31,245
called,31,246
"thou,",31,247
